,Article Title,Authors,Abstract,Volume,Source Title,Publication Year,ISSN,DOI,Source
0,Exact and heuristic methods for a workload allocation problem with chain precedence constraints,Pereira J.; Ritt M.,"Industrial manufacturing is often organized in assembly lines where a product is assembled on a sequence of stations, each of which executes some of the assembly tasks. A line is balanced if the maximum total execution time of any station is minimal. Commonly, the task execution order is constrained by precedences, and task execution times are independent of the station performing the task. Here, we consider a recent variation, called the “(Calzedonia) Workload Allocation Problem” (WAP), where the precedences form a chain, and the execution time of a task depends on the worker executing it. This problem was recently proposed by Battarra et al. (2020) and it is a special case of the Assembly Line Worker Assignment and Balancing Problem Miralles et al. (2007) where precedence relations are arbitrary. In this paper we consider the computational complexity of the problem and prove its NP-hardness. To solve the problem, we provide different lower bounds and exact and heuristic procedures. The performance of the proposed methods is tested on previously proposed instances and on new, larger instances with the same characteristics. The results show that the proposed methods can solve instances with up to about 4000 tasks and 29 workers, doubling the size of the instances that previously could be solved to optimality. © 2022 Elsevier B.V.",309,European Journal of Operational Research,2023,03772217,10.1016/j.ejor.2022.12.035,SCO
1,A Dynamic System to Predict an Assembly Line Worker's Comfortable Work-Duration Time by Using the Machine Learning Technique,Rao Pabolu V.K.; Shrivastava D.; Kulkarni M.S.,"Worker' work-rotation between the workstations of an assembly line is a common task to an assembly line manager, to manage the workload between the assembly line workers. Usually, worker work rotation makes an interruption to a continuous production system. It is a desire of an assembly line manager to avoid the worker's work-rotation, at least between the work breaks. This work aims to protect the manager's interest by predicting the comfortable work-duration time of an assembly line worker for a given work, based on the working condition and the instantaneous physical & mental status of the worker. The comfortable work-duration time can be used during the worker's work assignment to reduce interruptions. Factors, which influence the longevity of workers' comfortable work duration time are identified. IIoT based sensors are proposed here to monitor the relevant factors for diagnostics. Machine Learning techniques are used as a part of prognostics to predict the comfortable work-duration time of a worker, based on his/her physical & mental status. Implementation methodology is explained along with a simulated experiment. © 2022 Elsevier B.V.. All rights reserved.",106,Procedia CIRP,2022,22128271,10.1016/j.procir.2022.02.190,SCO
2,Towards evaluating the impact of swarm robotic control strategy on operators' cognitive load,Paas A.; Coffey E.B.J.; Beltrame G.; St-Onge D.,"The use of multi-robot systems is increasing in disaster response, industry, transport, and logistics. Humans will remain indispensable to control and manage these fleets of robots, particularly in safety-critical applications. However, a human operator's cognitive capacities can be challenged and exceeded as the sizes of autonomous fleets grow, and more sophisticated AI techniques can lead to opaque robot control programs. In a user study (n = 40), we explore how autonomous swarm intelligence algorithms and novel tangible interaction modalities relate to subjective and physiological indices of operator cognitive load (i.e., NASA Task Load Index, heart rate variability). Our findings suggest that there are differences in workload across conditions; however, subjective and cardiac measures appear to be sensitive to different aspects of cognitive state. The results hint at the potential of both tangible interfaces and automation to engage operators and reduce cognitive load, yet show the need for further validation of workload measures for use in studying and optimizing human-swarm interactions. © 2022 IEEE.",,"RO-MAN 2022 - 31st IEEE International Conference on Robot and Human Interactive Communication: Social, Asocial, and Antisocial Robots",2022,,10.1109/RO-MAN53752.2022.9900763,SCO
3,Towards an Adaptive Assistance System for Monitoring Tasks: Assessing Mental Workload using Eye-Tracking and Performance Measures,Buchholz V.; Kopp S.,"With the introduction of more and more autonomous machines into the work environment, the role of a worker changes from the sole executor of a task to the observer and supervisor of a system that carries out tasks on her behalf. Often, the transparency and predictability of these systems decrease, making it difficult to comprehend underlying processes for the worker. Moreover, monitoring tasks can impose different levels of workload on the human operator leading to an increased risk of making serious errors. The present research aims at developing an adaptive assistance system for these types of tasks that is able to monitor a worker's current level of mental workload and provides support without reducing the worker's autonomy and sense of responsibility. We report results of an experiment using a monitoring task incorporating repeated event sequences to simulate underlying workings of a complex system. Results show that performance in connection with eye-Tracking measures are suitable indicators of the level of mental workload and that making the worker aware of underlying structures may reduce workload. Further steps towards an adaptive assistance system for monitoring tasks are discussed.  © 2020 IEEE.",,"Proceedings of the 2020 IEEE International Conference on Human-Machine Systems, ICHMS 2020",2020,,10.1109/ICHMS49158.2020.9209435,SCO
4,Assembly line balancing using genetic algorithm method to minimize number of working stations: A case study in car manufacturing,Damayanti D.D.; Astuti M.D.; Setyawan E.B.; Ramdani A.F.,"In this competitive era, there are no more manufacturing organizations that want to produce products in large volumes with low variations. The company is now shifting toward the idea of producing more variations that are of interest to consumers. Increased demand and production targets cannot be avoided. however, the increase must be adjusted to the worker's resources according to their function. If it is not balanced, it will cause a bottleneck on the production flow caused by the operating time at a workstation exceeding the takt time. then we need to balance the assembly line to get optimum and efficient results. Assembly line balancing (ALB) is used to flatten workload on all processes in a cell or value stream to eliminate bottlenecks and excess capacity, with a limitation of slowing down process time and excess capacity. The completion of this case study uses a combination of Priority Rule-Based/heuristic methods and Genetic Algorithm methods. © 2020 IOP Conference Series: Materials Science and Engineering.",1007,IOP Conference Series: Materials Science and Engineering,2020,17578981,10.1088/1757-899X/1007/1/012099,SCO
5,Comparing video and augmented reality assistance in manual assembly,Loch F.; Quint F.; Brishtel I.,"Manual work is a cornerstone of manufacturing. This holds true today, as well as for future factories of the Industry 4.0 era. Use cases of manual work are small series or highly customized products. Assistance systems that support workers in dealing with such diverse assembly processes are developed and evaluated. This paper presents an evaluation of an Augmented Reality-based assistance system which is integrated in a manual workstation. This system is compared with video-based assistance regarding performance, user acceptance and mental workload. It shows a significantly reduced number of errors and scored better regarding time and mental workload. © 2016 IEEE.",,"Proceedings - 12th International Conference on Intelligent Environments, IE 2016",2016,,10.1109/IE.2016.31,SCO
6,Master production scheduling and sequencing at mixed-model assembly lines in the automotive industry,Dörmer J.; Günther H.-O.; Gujjula R.,"The customization of final products in the automotive industry involves a large number of optional parts and leads to a huge variety of operation times at the various stations of the assembly line. The master production scheduling problem (MPS) for high-variant mixed-model assembly lines is to assign the individual customer-defined models of a basic product type to short-term production periods while anticipating the negative impacts of an unbalanced model sequence at the lower planning level. We propose a mathematical model formulation for the MPS and develop heuristic solution procedures that attempt to minimize the workload variability. Specifically, these procedures anticipate decisions on the mixed-model sequence and the resulting work overload at stations which has to be balanced by the assignment of utility workers. Furthermore, an integrated planning approach for solving the MPS and the production sequencing problem is proposed. © 2013, Springer Science+Business Media New York.",27,Flexible Services and Manufacturing Journal,2015,19366582,10.1007/s10696-013-9173-8,SCO
7,How to provide work instructions to reduce the workers' physical and mental workload,Papetti A.; Ciccarelli M.; Palpacelli M.C.; Germani M.,"The transition to Industry 5.0 emphasizes the human-centric perspective and pushes for ergonomic risks prevention and mitigation. The diffusion of the production paradigms of mass customization and mass personalization also increases the need for methods and tools to support workers in manufacturing activities. The growing number of product variants requires a higher cognitive load and increases the likelihood of human errors. Work instructions become fundamental, as well as their digitalization. The technologies enabling industry 4.0 have opened up new scenarios for the use of this information, from extended reality to digital assistance systems. This work deals with the human-centered redesign of a workstation for the wire harness assembly with the aim of mitigating the ergonomic risks for operators, both physical and cognitive. Four different scenarios for using the work instructions were implemented and tested: paper-based instructions, workstation display, mixed reality application usable with a head-mounted display, and augmented reality application that only requires a projection system. The experimentation involved user experience evaluation, performance assessment, and objective postural analysis through inertial sensors. © 2023 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0) Peer-review under responsibility of the scientific committee of the 56th CIRP International Conference on Manufacturing Systems 2023.",120,Procedia CIRP,2023,22128271,10.1016/j.procir.2023.09.143,SCO
8,Towards modern inclusive factories: A methodology for the development of smart adaptive human-machine interfaces,Villani V.; Sabattini L.; Czerniak J.N.; Mertens A.; Vogel-Heuser B.; Fantuzzi C.,"Modern manufacturing systems typically require high degrees of flexibility, in terms of ability to customize the production lines to the constantly changing market requests. For this purpose, manufacturing systems are required to be able to cope with changes in the types of products, and in the size of the production batches. As a consequence, the human-machine interfaces (HMIs) are typically very complex, and include a wide range of possible operational modes and commands. This generally implies an unsustainable cognitive workload for the human operators, in addition to a non-negligible training effort. To overcome this issue, in this paper we present a methodology for the design of adaptive human-centred HMIs for industrial machines and robots. The proposed approach relies on three pillars: measurement of user's capabilities, adaptation of the information presented in the HMI, and training of the user. The results expected from the application of the proposed methodology are investigated in terms of increased customization and productivity of manufacturing processes, and wider acceptance of automation technologies. The proposed approach has been devised in the framework of the European project INCLUSIVE. © 2017 IEEE.",,"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",2017,19460740,10.1109/ETFA.2017.8247634,SCO
9,Decoding the silent language: A framework for advanced visual emotion recognition to enhance worker well-being on IIoT-enabled manufacturing,Rezaei N.; Vaezi S.A.; Camelio J.A.,"The Industrial Internet of Things (IIoT), pivotal in the Industry 4.0 revolution, has transformed manufacturing, particularly assembly lines, by enabling real-time process monitoring and data analysis to enhance productivity. Yet, its potential impact on worker well-being has been less explored. As the National Association of Manufacturers anticipates an opening of 2.1 million unfilled jobs by 2030, the necessity for frameworks that not only understand but also improve employee well-being becomes apparent. We introduce a novel, non-intrusive visual emotion recognition framework that incorporates facial emotion recognition (FER) and emotional body posture recognition (EBPR) to assess workers’ psychological states. This initiative aims to mitigate human errors and accidents linked to stress or high cognitive load, thereby enhancing the manufacturing environment. Strategies such as optimized break time planning, line balancing, procedure modifications, and improved training are proposed to ensure both employee well-being and stakeholder benefits. This framework indirectly supports the industry's efforts to address the looming challenge of unfilled jobs by fostering a supportive work environment that enhances job satisfaction, potentially making positions more appealing and retaining valuable talent. By bridging the gap between technological advancements and human-centric considerations, our approach underscores the significance of integrating IIoT solutions with employee welfare initiatives to address both productivity and workforce sustainability challenges. © 2024 The Author(s)",41,Manufacturing Letters,2024,22138463,10.1016/j.mfglet.2024.09.162,SCO
