,Title,Abstract,Authors,Keywords,DOI,ISSN,Publication Year
0,Human-Machine Interaction: Adapted Safety Assistance in Mentality Using Hidden Markov Chain and Petri Net,"This study proposes a cognition-adaptive approach for the administrative control of human-machine safety interaction through Internet of Things (IoT) data. As part of Industry 4.0, a human operator possesses various characteristics, but cannot be consistently understood as well as a machine. Thus, human-machine interaction plays an important role. This study focuses on incumbent challenges on the basis of estimated mental states. Given the operation logs from data recording hardware, a Hidden Markov model on top of a human cognitive model was trained to capture a production line worker's sequential faults. Our study found that retaining workers' attention is insufficient and tracking the state of perception is key to accomplishing production tasks. A safe workflow policy requires attention and perception. Accordingly, our proposed Petri Net enhances operation safety and improves production efficiency.","Chen, CN; Liu, TK; Chen, YMJ",Information processing model; hidden Markov chain; petri net; human machine interaction; FAULT-TREE; SYSTEM; WORKLOAD; MODEL,10.3390/app9235066,,2019
1,AGE AND GENDER BASED WORKLOAD CONSTRAINT FOR ASSEMBLY LINE WORKER ASSIGNMENT AND BALANCING PROBLEM IN A TEXTILE FIRM,"This paper investigates Assembly Line Worker Assignment and Balancing Problem (ALWABP), focusing specifically on productive workload differences due to age and gender of workers, to minimize the number of workstations. Most of the published papers on assembly line balancing problems (ALBP) are focused only on the task processing times. However, this may cause an overload in work assignments for certain workers. A work-overload may cause fatigue and thus lead to a decrease in line efficiency and factory productivity, and also result in an increase in quality problems and work-related injuries. To avoid the negative implications of work-overload conditions, this paper assigns tasks among workstations without exceeding the cycle time or the age and gender-adjusted physical workload capacity (PWLC). We propose a regression model to determine age and gender-based PWLC. Six different age categories are analyzed to show the impacts of age and gender on PWLC. We propose a binary (0-1) integer linear programming (BILP) for ALWABP, where age and gender-adjusted PWLC is considered. The efficiency of the model is shown on test problems and a real-life application in a textile firm. An ALWABP is considered taking into account the processing times and physical workloads for a textile factory assembly line of 53 tasks. The numbers of stations for ALWABP without and with the physical workload in the textile firm assembly line case are 5 and 6, respectively. All workstations are balanced in terms of physical workload and processing times. The results show that advancing average age increases the number of stations (NS), and this situation triggers a reduction in line efficiency (LE) and PWLC utilization ratio.","Efe, B; Kremer, GEO; Kurt, M",human factors; assembly line worker assignment and balancing problem; linear programming; physical workload capacity; GENETIC ALGORITHM; PARALLEL WORKSTATIONS; PHYSICAL WORKLOAD; DISABLED WORKERS; JOB ROTATION; MODEL; TIME; PERFORMANCE; RISK,,1943-670X,2018
2,Experimental study to investigate mental workload of local vs remote operator in human-machine interaction,"A new Coronavirus disease 2019 has spread globally since 2019. Consequently, businesses from different sectors were forced to work remotely. At the same time, research in this area has seen a rise in studying and emerging technologies that allow and promote such a remote working style; not every sector is equipped for such a transition. The manufacturing sector especially, has faced challenges in this respect. This paper investigates the mental workload (MWL) of two groups of participants through a human-machine interaction task. Participants were required to bring a robotised cell to full production by tuning system and dispensing process parameters. Following the experiment, a self-assessment of the participants' perceived MWL using the raw NASA Task Load Index (RTLX) was collected. The results reveal that remote participants tend to have a lower perceived workload compared to the local participants, but mental demand was deemed higher while performance was rated lower.","Zimmer, M; Al-Yacoub, A; Ferreira, P; Hubbard, EM; Lohse, N",Mental workload; NASA-TLX; RTLX; remote working; ergonomics; Human-machine interaction; COGNITIVE LOAD ASSESSMENT; VISUAL INFORMATION; COLLABORATION,10.1080/21693277.2022.2090458,,2022
3,Social sustainability in manufacturing system: case of multi-manned assembly line,"The manufacturing sector has always been at the heart of technological advances. In the manufacturing setting, labor's variety addresses a critical challenge for organizations, particularly those characterized by high worker turnover and manual cycles that involve high physical workload like in assembly lines. In this paper, sustainability is addressed in the manufacturing system especially in assembly lines. It is known with its 3 aspects: social, economic and environmental. In this study, social aspect is treated by considering the worker's tiredness in assembly lines. To explain the problem, an illustrative example is given to show the importance of the worker's tiredness in determining their salaries. Two distinct assignment scenarios are examined revealing that opting for a specific type of resource results in cost savings compared to utilizing diverse resources. Additionally, this last choice enhances the operator's working comfort.","Tkitek, Z; Triki, H; Moalla, HF",manufacturing; social aspect; multi-manned assembly line; assembly line balancing; sustainability,10.1109/IC_ASET61847.2024.10596228,,2024
4,Formalizing Human-Machine Interactions for Adaptive Automation in Smart Manufacturing,"Human-machine interaction is one of the most crucial aspects of advanced manufacturing systems that have advanced to so-called smart manufacturing systems. In this regard, this paper presents a framework for formalizing human-machine manufacturing systems. The human-machine system considered in this paper consists of the following three main components: a human supervisor; several cells, each of which is composed of a human operator and a machine; and interfaces. A human operator interacts with a machine in a cell and performs manufacturing tasks based on commands given by the supervisor. Meanwhile, the supervisor is responsible for performing exception handling tasks in response to unanticipated events reported by the cells. With the proposed model, desirable specifications are constructed, which include a condition free of mode confusion, manufacturing task goal reachability, and exception handling task supportability in human-machine manufacturing systems. It is also suggested that adaptive automation with varying levels of information abstraction to humans can be accommodated by the proposed framework. As an illustrative example, we demonstrate the formal models and specifications and the applicability of adaptive automation with a case study of a simple chair assembly system.","Joo, T; Shin, D",Task analysis; Automation; Manufacturing systems; Adaptive systems; Smart manufacturing; Human computer interaction; Adaptive automation; formal methods; human-machine interaction; human supervisory control; manufacturing system; SITUATION AWARENESS; VERIFICATION; MODEL; PERFORMANCE; SURPRISES; WORKLOAD; TRUST,10.1109/THMS.2019.2903402,2168-2291,2019
5,Human-centric robotic assembly line design: a fuzzy inference system approach for adaptive workload management,"In the transition from Industry 4.0 to Industry 5.0, the integration of human-centric considerations into manufacturing processes becomes vital. This study advances beyond conventional Industry 4.0 frameworks by introducing a novel fatigue model that emphasizes ergonomic risk management during the design phase of robotic assembly lines. Utilizing a hybrid model that employs a fuzzy inference system based on ergonomist knowledge, this fuzzy approach manages the imprecise nature of ergonomic optimization more accurately than deterministic models and effectively reflects real-world complexities. By evaluating fatigue at both task and worker levels, this fuzzy inference mechanism addresses technical aspects through feasibility studies and significantly improves ergonomic outcomes. The integration of supportive robots is explored through scenario-based analysis, highlighting productivity enhancements and substantial ergonomic benefits in line with Industry 5.0's focus on enhancing worker well-being and operational resilience. The proposed heuristic algorithm enables decision-makers to identify the most efficient solutions tailored to individual preferences, showcasing flexibility and real-world applicability. Empirical validation, enriched with synthesized ergonomic-oriented instances, confirms the superiority of this approach in creating more sustainable and ergonomically optimized assembly lines. Implementing this approach is predicted to decrease system costs by up to 47%, particularly advantageous during human resources crises, by reducing ergonomic risk, recovery needs, and additional capacity requirements for fatigue mitigation. This study contributes to the discourse on the practical implications of Industry 5.0 and demonstrates its applicability in designing ergonomically optimized assembly lines that prioritize long-term productivity and worker satisfaction.","Ghorbani, E; Keivanpour, S; Sekkay, F; Imbeau, D",Assembly line design problem; Ergonomic risks; Fatigue and recovery model; Fuzzy expert system; Industry 5.0; Supportive robots; PHYSICAL WORKLOAD; BALANCING PROBLEM; ERGONOMIC RISKS; MODEL; OPTIMIZATION,10.1007/s00170-024-14282-4,0268-3768,2024
6,On the development of a method for cognitive load assessment in manufacturing,"The increasing complexity and demands of assembly operations in manufacturing has been shown to lead to increased cognitive load in assembly workers. Previous work has outlined the complexity of an assembly worker's situation both in terms of difficulty and speed of work and there have been a few attempts at creating frameworks and methods for understanding the key aspects of what creates increased cognitive load. This paper presents the development of an analytic method, denoted CLAM (Cognitive Load Assessment for Manufacturing), and a tool for assessing cognitive load in manufacturing, primarily assembly. It outlines the journey of the development as well as discusses and problematizes relevant meta-methodological issues paired with method development. The intended contribution of the work is to make a difference in reducing the cognitive load of assembly workers on the shop floor, thus focusing the development on applicability and usability of the tool in practice. With this purpose in mind, focus of the method development has been on the practitioners, i.e. the method should not require any expert knowledge to be applied. The CLAM method and accompanying documentation such as a handbook containing instructions towards using the method and interpreting the results, is available in an online tool.","Thorvald, P; Lindblom, J; Andreasson, R",Cognitive load; Manufacturing; Assembly; Method development; CLAM method; MENTAL WORKLOAD; DESIGN,10.1016/j.rcim.2019.04.012,0736-5845,2019
7,The Impact of Augmented Reality Devices on Operator Performance in Manufacturing Contexts,"This study explores the impact of augmented reality (AR) on worker performance in manufacturing contexts through an analysis of case studies extant in the literature. Two specific analyses were conducted to assess the impacts of AR technologies on worker performance in terms of objective and subjective metrics, and in terms of their age, experience with the task and experience with the AR device. Regarding objective metrics, the results showed that the task completion time was reduced for some AR devices (projectors, monitors, tablets, smartphones), whereas the use of the head-mounted display (HMD) increased task-completion time; moreover, the error rate was reduced with any AR device compared with traditional methods. Regarding subjective metrics, the analysis underlined that operator perceived a lower workload with the HMD or the monitor compared with traditional methods. The age of operators did not influence performance, while the operators' experience allowed for the improvement of human performance.","Belsito, C; Franciosi, C; Di Pasquale, V",Human factors; human errors; industry 4.0; manufacturing systems; technology implementation; smart factory; INDUSTRY 4.0; TOOL,10.24425/mper.2024.149987,2080-8208,2024
8,Identify eight aspects of ergonomics to determine the improvement of human-machine interaction work (case studies in manufacturing industry),"Manufacturing Industry is one of the industrial activities in Indonesia, manufacturing industry is an industry with main activities is to change raw materials, components, or other parts into goods which is according to company specifications standards. In the production floor, activity in the manufacturing industry, the workers have different job specifications with each other. Some works consist of human-machine interaction is found by the activity between workers and lathe machine, welding maching, milling machine, frais machine, and others. The manufacturing industry will increase its ability to serve a variety of better quality products caused by the desire or encouragement of the customers. In general, according to the increase of corporate targets, its also need improvement from the aspect of work performance. To obtain a description of the proposed improvement based on human performance, it is necessary to identify the eight aspects of ergonomics include the consumption of nutritionalfor workers (energy), muscle power, body posture, environment, time conditions, social conditions, information conditions, and human machine interaction. This research use cross sectional method approach that is research done at one time, no follw up, to find the correlation between independent variable (risk factor) with dependent variable (effect). The conclusion of this research is needed nutrition intake or nutrition to recover the workers, it is necessary to design facilities such as manufacturing aids to reduce the use of excess muscle or appropriate technology (TTG). After the application of TTG (Appropriate Technology) to reduce the excessive use of muscle to the workers, the company should provide the nutritional intake accordance with workload of employees in the manufacturing industry","Susihono, W; Saputri, TA",,10.1051/matecconf/201821804018,2261-236X,2018
9,Automated Task Scheduling for Automotive Industry,"Nowadays, the automotive industry requires an increased use of intelligent systems to endure. In this paper, we present a new solution for automated task scheduling to help automotive industry in efficiently managing garage employees' time and improving the effectiveness of the servicing and maintenance tasks of vehicles. The developed approach consists in a set of interconnected web applications with a model-view-controller based-on architecture and expert-knowledge temporal logic rules to automate the assignment of the daily workload for engineers working on multiple workstations within an automotive company. The proposed intelligent system prioritises and selects tasks for these engineers; the scheduled tasks being automatically ordered and displayed accordingly on screens visible in the related garage workstations. This automated task scheduling system has been successfully deployed within Arnold Clark Automobiles Ltd Company, and the performance of this new application used by a group of engineers under real-world operational conditions have been assessed and analysed.","Lewandowski, R; Olszewska, JI",Intelligent Systems; Industry 4.0 and Smart factory; Manufacturing-oriented Data Analytics; Intelligent Human-Machine Interaction; Expert Systems; SYSTEMS; OPTIMIZATION,10.1109/ines49302.2020.9147169,1562-5850,2020
10,Overloaded and at Work: Investigating the Effect of Cognitive Workload on Assembly Task Performance,"Objective This study investigates the effect of cognitive overload on assembly task performance and muscle activity. Background Understanding an operator's cognitive workload is an important component in assessing human-machine interaction. However, little evidence is available on the effect that cognitive overload has on task performance and muscle activity when completing manufacturing tasks. Method Twenty-two volunteers completed an assembly task while performing a secondary cognitive task with increasing levels of demand (n-back). Performance in the assembly task (completion times, accuracy), muscle activity recorded as integrated electromyography (EMG), and self-reported workload were measured. Results Results show that the increasing cognitive demand imposed by then-back task resulted in impaired assembly task performance, overall greater muscle activity, and higher self-reported workload. Relative to the control condition, performing the 2-back task resulted in longer assembly task completion times (+10 s on average) and greater integrated EMG for flexor carpi ulnaris, triceps brachii, biceps brachii, anterior deltoid, and pectoralis major. Conclusion This study demonstrates that working under high cognitive load not only results in greater muscle activity, but also affects assembly task completion times, which may have a direct effect on manufacturing cycle times. Application Results are applicable to the assessment of the effects of high cognitive workload in manufacturing.","Biondi, FN; Cacanindin, A; Douglas, C; Cort, J",cognitive workload; assembly task; multitasking; cognitive ergonomics; muscle activity; MUSCLE; DISTRACTION; DRIVER,10.1177/0018720820929928,0018-7208,2021
11,Towards evaluating the impact of swarm robotic control strategy on operators' cognitive load,"The use of multi-robot systems is increasing in disaster response, industry, transport, and logistics. Humans will remain indispensable to control and manage these fleets of robots, particularly in safety-critical applications. However, a human operator's cognitive capacities can be challenged and exceeded as the sizes of autonomous fleets grow, and more sophisticated AI techniques can lead to opaque robot control programs. In a user study (n = 40), we explore how autonomous swarm intelligence algorithms and novel tangible interaction modalities relate to subjective and physiological indices of operator cognitive load (i.e., NASA Task Load Index, heart rate variability). Our findings suggest that there are differences in workload across conditions; however, subjective and cardiac measures appear to be sensitive to different aspects of cognitive state. The results hint at the potential of both tangible interfaces and automation to engage operators and reduce cognitive load, yet show the need for further validation of workload measures for use in studying and optimizing human-swarm interactions.","Paas, A; Coffey, EBJ; Beltrame, G; St-Onge, D",,10.1109/RO-MAN53752.2022.9900763,,2022
12,Assembly Line Worker Assignment and Balancing Problem with Positional Constraints,"One of the most important operational issues in the assembly line is to assign tasks and workers to stations while balancing the workload of the workers. We consider the assembly line worker assignment and balancing problem (ALWABP) where the process time of a task depends on worker skill levels. We also consider new positional constraints in the ALWABP to secure the working area of the workers. Two mathematical programming models are proposed to assign workers and tasks when new products are introduced and when a worker is absent or leaves a position temporary, respectively. A heuristic algorithm for the first model is proposed due to its extremely high complexity. The experimental results show the efficiency of the proposed methods. Finally, we explain how the proposed models can be used with a real-time dashboard of a digital twin.","Yang, H; Lee, JH; Kim, HJ",Assembly line; Line balancing; Worker skill level; Positional constraints; Digital twin; BOUND ALGORITHM,10.1007/978-3-030-85914-5_1,1868-4238,2021
