PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29577838","Effort-Reward Imbalance and Work Productivity Among Hotel Housekeeping Employees: A Pilot Study","Rosemberg MS, Li Y.","Workplace Health Saf. 2018 Nov;66(11):516-521. doi: 10.1177/2165079918755803. Epub 2018 Mar 26.","Rosemberg MS","Workplace Health Saf","2018","2018/03/27","","","10.1177/2165079918755803"
"38489212","Evaluation of absenteeism and presenteeism status of factory employees","Oral B, Solak Y, Durmuş H.","Work. 2024;79(1):449-457. doi: 10.3233/WOR-230642.","Oral B","Work","2024","2024/03/15","","","10.3233/WOR-230642"
"32310214","Urinary symptoms and infections among female garment factory workers in Bangladesh","Moran J, Fitch TJ, Villanueva G, Quadir MM, Chien LC, Alamgir H.","Work. 2020;65(4):847-856. doi: 10.3233/WOR-203136.","Moran J","Work","2020","2020/04/21","","","10.3233/WOR-203136"
"31658088","Connotations of psychological and physiological health in the psychosocial work environment: An industrial context","Javaid MU, Bano S, Mirza MZ, Isha ASN, Nadeem S, Jawaid A, Ghazali Z, Nübling M, Imtiaz N, Kaur P.","Work. 2019;64(3):551-561. doi: 10.3233/WOR-193016.","Javaid MU","Work","2019","2019/10/29","","","10.3233/WOR-193016"
"25659369","Ergonomic risk factor identification for sewing machine operators through supervised occupational therapy fieldwork in Bangladesh: A case study","Habib MM.","Work. 2015;50(3):357-62. doi: 10.3233/WOR-151991.","Habib MM","Work","2015","2015/02/10","","","10.3233/WOR-151991"
"23803439","Change in job stress and job satisfaction over a two-year interval using the Brief Job Stress Questionnaire","Kawada T, Otsuka T.","Work. 2014;49(1):107-11. doi: 10.3233/WOR-131658.","Kawada T","Work","2014","2013/06/28","","","10.3233/WOR-131658"
"30609231","Perceived stress in human-machine interaction in modern manufacturing environments-Results of a qualitative interview study","Körner U, Müller-Thur K, Lunau T, Dragano N, Angerer P, Buchner A.","Stress Health. 2019 Apr;35(2):187-199. doi: 10.1002/smi.2853. Epub 2019 Jan 30.","Körner U","Stress Health","2019","2019/01/05","","","10.1002/smi.2853"
"32640611","Practical Judgment of Workload Based on Physical Activity, Work Conditions, and Worker's Age in Construction Site","Hashiguchi N, Kodama K, Lim Y, Che C, Kuroishi S, Miyazaki Y, Kobayashi T, Kitahara S, Tateyama K.","Sensors (Basel). 2020 Jul 6;20(13):3786. doi: 10.3390/s20133786.","Hashiguchi N","Sensors (Basel)","2020","2020/07/10","PMC7374462","","10.3390/s20133786"
"25798891","Employment experiences of immigrant workers in aged care in regional South Australia","Goel K, Penman J.","Rural Remote Health. 2015 Jan-Mar;15(1):2693. Epub 2015 Mar 23.","Goel K","Rural Remote Health","2015","2015/03/24","","",""
"36269699","A capability perspective on sustainable employability: A Dutch focus group study on organizational, work and personal conversion factors","Meerman J, van Casteren PAJ, Brouwers EPM, van Dam A, van der Klink JJL.","PLoS One. 2022 Oct 21;17(10):e0274000. doi: 10.1371/journal.pone.0274000. eCollection 2022.","Meerman J","PLoS One","2022","2022/10/21","PMC9586339","","10.1371/journal.pone.0274000"
