PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39215971","Placing patient safety at the heart of value-based healthcare","La Regina M, Federici L, Bianco A, Tartaglia R, Lachman P.","Int J Qual Health Care. 2024 Sep 14;36(3):mzae087. doi: 10.1093/intqhc/mzae087.","La Regina M","Int J Qual Health Care","2024","2024/08/31","","","10.1093/intqhc/mzae087"
"24997342","Adaptive cognitive technical systems","Putze F, Schultz T.","J Neurosci Methods. 2014 Aug 30;234:108-15. doi: 10.1016/j.jneumeth.2014.06.029. Epub 2014 Jul 2.","Putze F","J Neurosci Methods","2014","2014/07/06","","","10.1016/j.jneumeth.2014.06.029"
"30150964","Undesirable Difficulty Effects in the Learning of High-Element Interactivity Materials","Chen O, Castro-Alonso JC, Paas F, Sweller J.","Front Psychol. 2018 Aug 13;9:1483. doi: 10.3389/fpsyg.2018.01483. eCollection 2018.","Chen O","Front Psychol","2018","2018/08/29","PMC6099118","","10.3389/fpsyg.2018.01483"
"37160659","Discussion of the special issue on cognitive load theory","Sweller J.","Br J Educ Psychol. 2023 Aug;93 Suppl 2:402-410. doi: 10.1111/bjep.12606. Epub 2023 May 9.","Sweller J","Br J Educ Psychol","2023","2023/05/09","","","10.1111/bjep.12606"
"38247319","Adopting Stimulus Detection Tasks for Cognitive Workload Assessment: Some Considerations","Biondi FN.","Hum Factors. 2024 Dec;66(12):2561-2568. doi: 10.1177/00187208241228049. Epub 2024 Jan 21.","Biondi FN","Hum Factors","2024","2024/01/22","PMC11475934","","10.1177/00187208241228049"
"34204979","Real-World fNIRS Brain Activity Measurements during Ashtanga Vinyasa Yoga","Dybvik H, Steinert M.","Brain Sci. 2021 Jun 3;11(6):742. doi: 10.3390/brainsci11060742.","Dybvik H","Brain Sci","2021","2021/07/02","PMC8229690","","10.3390/brainsci11060742"
"29857459","Prediction of Nursing Workload in Hospital","Fiebig M, Hunstein D, Bartholomeyczik S.","Stud Health Technol Inform. 2018;250:266-267.","Fiebig M","Stud Health Technol Inform","2018","2018/06/03","","",""
"24593808","Cognitive Load Theory: implications for medical education: AMEE Guide No. 86","Young JQ, Van Merrienboer J, Durning S, Ten Cate O.","Med Teach. 2014 May;36(5):371-84. doi: 10.3109/0142159X.2014.889290. Epub 2014 Mar 4.","Young JQ","Med Teach","2014","2014/03/06","","","10.3109/0142159X.2014.889290"
"24642737","Direct procurement of wound management products","Jenkins T.","Br J Community Nurs. 2014 Mar;Suppl:S21-2, S24-7. doi: 10.12968/bjcn.2014.19.sup3.s21.","Jenkins T","Br J Community Nurs","2014","2014/03/20","","","10.12968/bjcn.2014.19.sup3.s21"
"38418333","Psychology in the operating theatre: the importance of colour and cognition in the redesign of clinical systems for medication safety","Webster CS.","Br J Anaesth. 2024 May;132(5):837-839. doi: 10.1016/j.bja.2024.02.003. Epub 2024 Feb 28.","Webster CS","Br J Anaesth","2024","2024/02/28","","","10.1016/j.bja.2024.02.003"
