,Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Keywords
0,J,"Chen, CN; Liu, TK; Chen, YMJ",,,,"Chen, Chao-Nan; Liu, Tung-Kuan; Chen, Yenming J.",,,Human-Machine Interaction: Adapted Safety Assistance in Mentality Using Hidden Markov Chain and Petri Net,APPLIED SCIENCES-BASEL,,,English,Article,,,,,,Information processing model; hidden Markov chain; petri net; human machine interaction,FAULT-TREE; SYSTEM; WORKLOAD; MODEL,"This study proposes a cognition-adaptive approach for the administrative control of human-machine safety interaction through Internet of Things (IoT) data. As part of Industry 4.0, a human operator possesses various characteristics, but cannot be consistently understood as well as a machine. Thus, human-machine interaction plays an important role. This study focuses on incumbent challenges on the basis of estimated mental states. Given the operation logs from data recording hardware, a Hidden Markov model on top of a human cognitive model was trained to capture a production line worker's sequential faults. Our study found that retaining workers' attention is insufficient and tracking the state of perception is key to accomplishing production tasks. A safe workflow policy requires attention and perception. Accordingly, our proposed Petri Net enhances operation safety and improves production efficiency.","[Chen, Chao-Nan] Natl Kaohsiung Univ Sci & Technol, Coll Engn, Ph D Program Management & Engn Sci & Technol, Kaohsiung 824, Taiwan; [Liu, Tung-Kuan] Natl Kaohsiung Univ Sci & Technol, Dept Mech & Automat Engn, Kaohsiung 824, Taiwan; [Chen, Yenming J.] Natl Kaohsiung Univ Sci & Technol, Dept Logist Management, Kaohsiung 824, Taiwan",National Kaohsiung University of Science & Technology; National Kaohsiung University of Science & Technology; National Kaohsiung University of Science & Technology,"Liu, TK (corresponding author), Natl Kaohsiung Univ Sci & Technol, Dept Mech & Automat Engn, Kaohsiung 824, Taiwan.;Chen, YMJ (corresponding author), Natl Kaohsiung Univ Sci & Technol, Dept Logist Management, Kaohsiung 824, Taiwan.",mj.ceo@msa.hinet.net; tkliuaiia@gmail.com; yjjchen@nkust.edu.tw,"Chen, Chaonan/AAE-1207-2019","Chen, Yenming J./0000-0003-3072-0917","Ministry of Science and Technology in Taiwan [107-2221-E-992-092, 107-2410-H-992-014-MY2]","Ministry of Science and Technology in Taiwan(Ministry of Science and Technology, Taiwan)",This research was funded by Ministry of Science and Technology in Taiwan grant number 107-2221-E-992-092 and 107-2410-H-992-014-MY2.,,24,7,7,1,19,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,2076-3417,,APPL SCI-BASEL,Appl. Sci.-Basel,DEC,2019,9.0,23,,,,,,,5066,10.3390/app9235066,0.0,,,11,"Chemistry, Multidisciplinary; Engineering, Multidisciplinary; Materials Science, Multidisciplinary; Physics, Applied",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Chemistry; Engineering; Materials Science; Physics,KF8GZ,,gold,,,2024-11-14,WOS:000509476600088,0,Information processing model; hidden Markov chain; petri net; human machine interaction; FAULT-TREE; SYSTEM; WORKLOAD; MODEL
1,J,"Efe, B; Kremer, GEO; Kurt, M",,,,"Efe, Burak; Kremer, Gul E. Okudan; Kurt, Mustafa",,,AGE AND GENDER BASED WORKLOAD CONSTRAINT FOR ASSEMBLY LINE WORKER ASSIGNMENT AND BALANCING PROBLEM IN A TEXTILE FIRM,INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,,,English,Article,,,,,,human factors; assembly line worker assignment and balancing problem; linear programming; physical workload capacity,GENETIC ALGORITHM; PARALLEL WORKSTATIONS; PHYSICAL WORKLOAD; DISABLED WORKERS; JOB ROTATION; MODEL; TIME; PERFORMANCE; RISK,"This paper investigates Assembly Line Worker Assignment and Balancing Problem (ALWABP), focusing specifically on productive workload differences due to age and gender of workers, to minimize the number of workstations. Most of the published papers on assembly line balancing problems (ALBP) are focused only on the task processing times. However, this may cause an overload in work assignments for certain workers. A work-overload may cause fatigue and thus lead to a decrease in line efficiency and factory productivity, and also result in an increase in quality problems and work-related injuries. To avoid the negative implications of work-overload conditions, this paper assigns tasks among workstations without exceeding the cycle time or the age and gender-adjusted physical workload capacity (PWLC). We propose a regression model to determine age and gender-based PWLC. Six different age categories are analyzed to show the impacts of age and gender on PWLC. We propose a binary (0-1) integer linear programming (BILP) for ALWABP, where age and gender-adjusted PWLC is considered. The efficiency of the model is shown on test problems and a real-life application in a textile firm. An ALWABP is considered taking into account the processing times and physical workloads for a textile factory assembly line of 53 tasks. The numbers of stations for ALWABP without and with the physical workload in the textile firm assembly line case are 5 and 6, respectively. All workstations are balanced in terms of physical workload and processing times. The results show that advancing average age increases the number of stations (NS), and this situation triggers a reduction in line efficiency (LE) and PWLC utilization ratio.","[Efe, Burak] Necmettin Erbakan Univ, Dept Ind Engn, Konya, Turkey; [Kremer, Gul E. Okudan] Iowa State Univ, Dept Ind & Mfg Syst Engn, Ames, IA USA; [Kurt, Mustafa] Gazi Univ, Dept Ind Engn, Ankara, Turkey",Necmettin Erbakan University; Iowa State University; Gazi University,"Efe, B (corresponding author), Necmettin Erbakan Univ, Dept Ind Engn, Konya, Turkey.",burakefe0642@gmail.com,,"Okudan Kremer, Gul/0000-0001-8070-825X",,,,,36,16,16,0,23,UNIV CINCINNATI INDUSTRIAL ENGINEERING,CINCINNATI,"UNIV CINCINNATI, CINCINNATI, OH 45221-0116 USA",1943-670X,,,INT J IND ENG-THEORY,Int. J. Ind. Eng.-Theory Appl. Pract.,,2018,25.0,1,,,SI,,1.0,17.0,,,,,,17,"Engineering, Industrial; Engineering, Manufacturing",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Engineering,GE4XN,,,,,2024-11-14,WOS:000431221200001,0,human factors; assembly line worker assignment and balancing problem; linear programming; physical workload capacity; GENETIC ALGORITHM; PARALLEL WORKSTATIONS; PHYSICAL WORKLOAD; DISABLED WORKERS; JOB ROTATION; MODEL; TIME; PERFORMANCE; RISK
2,J,"Zimmer, M; Al-Yacoub, A; Ferreira, P; Hubbard, EM; Lohse, N",,,,"Zimmer, Melanie; Al-Yacoub, Ali; Ferreira, Pedro; Hubbard, Ella-Mae; Lohse, Niels",,,Experimental study to investigate mental workload of local vs remote operator in human-machine interaction,PRODUCTION AND MANUFACTURING RESEARCH-AN OPEN ACCESS JOURNAL,,,English,Article,,,,,,Mental workload; NASA-TLX; RTLX; remote working; ergonomics; Human-machine interaction,COGNITIVE LOAD ASSESSMENT; VISUAL INFORMATION; COLLABORATION,"A new Coronavirus disease 2019 has spread globally since 2019. Consequently, businesses from different sectors were forced to work remotely. At the same time, research in this area has seen a rise in studying and emerging technologies that allow and promote such a remote working style; not every sector is equipped for such a transition. The manufacturing sector especially, has faced challenges in this respect. This paper investigates the mental workload (MWL) of two groups of participants through a human-machine interaction task. Participants were required to bring a robotised cell to full production by tuning system and dispensing process parameters. Following the experiment, a self-assessment of the participants' perceived MWL using the raw NASA Task Load Index (RTLX) was collected. The results reveal that remote participants tend to have a lower perceived workload compared to the local participants, but mental demand was deemed higher while performance was rated lower.","[Zimmer, Melanie; Al-Yacoub, Ali; Ferreira, Pedro; Hubbard, Ella-Mae; Lohse, Niels] Loughborough Univ, Intelligent Automat Ctr, Wolfson Sch, Loughborough, Leics, England",Loughborough University,"Al-Yacoub, A (corresponding author), Loughborough Univ, Intelligent Automat Ctr, Epinal Way, Loughborough LE11 3TU, Leics, England.",a.al-yacoub@lboro.ac.uk,"Lohse, Niels/AAB-6597-2021; Ferreira, Pedro/JVN-2767-2024; Hubbard, Ella-Mae/I-4291-2014","Lohse, Niels/0000-0001-7279-8849; Al-Yacoub, Ali/0000-0003-2010-9882",Engineering and Physical Sciences Research Council [EP/L014998/1]; EPSRC [EP/R032718/1] Funding Source: UKRI,Engineering and Physical Sciences Research Council(UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC)); EPSRC(UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC)),This work was supported by the Engineering and Physical Sciences Research Council [EP/L014998/1].,,26,0,0,1,13,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",,2169-3277,,PROD MANUF RES,Prod. Manuf. Res.,DEC 31,2022,10.0,1,,,,,410.0,427.0,,10.1080/21693277.2022.2090458,0.0,,,18,"Engineering, Industrial",Emerging Sources Citation Index (ESCI),Engineering,2H0KK,,"Green Published, gold",,,2024-11-14,WOS:000813988000001,0,Mental workload; NASA-TLX; RTLX; remote working; ergonomics; Human-machine interaction; COGNITIVE LOAD ASSESSMENT; VISUAL INFORMATION; COLLABORATION
3,C,"Tkitek, Z; Triki, H; Moalla, HF",,"Elayeb, SB; BenAmor, A; Ghorbel, C; Elloumi, S; Nouri, K; Naceur, MS; Khouadja, O",,"Tkitek, Zainab; Triki, Hager; Moalla, Hela Frikha",,,Social sustainability in manufacturing system: case of multi-manned assembly line,"2024 IEEE INTERNATIONAL CONFERENCE ON ADVANCED SYSTEMS AND EMERGENT TECHNOLOGIES, ICASET 2024",,,English,Proceedings Paper,International Conference on Advanced Systems and Emergent Technologies (ICASET),"APR 27-29, 2024","Hammamet, TUNISIA",,,manufacturing; social aspect; multi-manned assembly line; assembly line balancing; sustainability,,"The manufacturing sector has always been at the heart of technological advances. In the manufacturing setting, labor's variety addresses a critical challenge for organizations, particularly those characterized by high worker turnover and manual cycles that involve high physical workload like in assembly lines. In this paper, sustainability is addressed in the manufacturing system especially in assembly lines. It is known with its 3 aspects: social, economic and environmental. In this study, social aspect is treated by considering the worker's tiredness in assembly lines. To explain the problem, an illustrative example is given to show the importance of the worker's tiredness in determining their salaries. Two distinct assignment scenarios are examined revealing that opting for a specific type of resource results in cost savings compared to utilizing diverse resources. Additionally, this last choice enhances the operator's working comfort.","[Tkitek, Zainab; Moalla, Hela Frikha] Olid Lab LR19ES21, Sfax 3021, Tunisia; [Tkitek, Zainab; Moalla, Hela Frikha] Univ Sfax, Higher Inst Ind Management sfax, Rd Tunis Km 10-5 Technopole Sfax BP-1164, Sfax 3021, Tunisia; [Triki, Hager] Lab Mech Modeling & Prod LA2MP, Sfax, Tunisia; [Triki, Hager] Univ Sfax, Engn Sch Sfax, Tunisia Higher Inst Ind management Sfax, Rd Tunis Km 10-5 Technopole Sfax BP-1164, Sfax, Tunisia",Universite de Sfax; Universite de Sfax; Ecole Nationale dIngenieurs de Sfax (ENIS); Universite de Sfax; Ecole Nationale dIngenieurs de Sfax (ENIS),"Tkitek, Z (corresponding author), Olid Lab LR19ES21, Sfax 3021, Tunisia.;Tkitek, Z (corresponding author), Univ Sfax, Higher Inst Ind Management sfax, Rd Tunis Km 10-5 Technopole Sfax BP-1164, Sfax 3021, Tunisia.",zainab.tkitek@isgis.u-sfax.tn; hager.triki@isgis.usf.tn; hela_frikha_moalla@yahoo.fr,"Triki, Hager/KFT-0154-2024",,[IC_ASET'2024],,This paper is supported by the international conference on advanced systems and emergent technologies (IC_ASET'2024),,21,0,0,1,1,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,979-8-3503-8490-1; 979-8-3503-8489-5,,,,2024,,,,,,,,,,10.1109/IC_ASET61847.2024.10596228,0.0,,,6,"Engineering, Multidisciplinary; Engineering, Electrical & Electronic",Conference Proceedings Citation Index - Science (CPCI-S),Engineering,BX3SP,,,,,2024-11-14,WOS:001284658200082,0,manufacturing; social aspect; multi-manned assembly line; assembly line balancing; sustainability
4,J,"Joo, T; Shin, D",,,,"Joo, Taejong; Shin, Dongmin",,,Formalizing Human-Machine Interactions for Adaptive Automation in Smart Manufacturing,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,,,English,Article,,,,,,Task analysis; Automation; Manufacturing systems; Adaptive systems; Smart manufacturing; Human computer interaction; Adaptive automation; formal methods; human-machine interaction; human supervisory control; manufacturing system,SITUATION AWARENESS; VERIFICATION; MODEL; PERFORMANCE; SURPRISES; WORKLOAD; TRUST,"Human-machine interaction is one of the most crucial aspects of advanced manufacturing systems that have advanced to so-called smart manufacturing systems. In this regard, this paper presents a framework for formalizing human-machine manufacturing systems. The human-machine system considered in this paper consists of the following three main components: a human supervisor; several cells, each of which is composed of a human operator and a machine; and interfaces. A human operator interacts with a machine in a cell and performs manufacturing tasks based on commands given by the supervisor. Meanwhile, the supervisor is responsible for performing exception handling tasks in response to unanticipated events reported by the cells. With the proposed model, desirable specifications are constructed, which include a condition free of mode confusion, manufacturing task goal reachability, and exception handling task supportability in human-machine manufacturing systems. It is also suggested that adaptive automation with varying levels of information abstraction to humans can be accommodated by the proposed framework. As an illustrative example, we demonstrate the formal models and specifications and the applicability of adaptive automation with a case study of a simple chair assembly system.","[Joo, Taejong; Shin, Dongmin] Hanyang Univ, Dept Ind & Management Engn, Ansan 15588, South Korea",Hanyang University,"Shin, D (corresponding author), Hanyang Univ, Dept Ind & Management Engn, Ansan 15588, South Korea.",mrjoo512@hanyang.ac.kr; dmshin@hanyang.ac.kr,,"Shin, Dongmin/0000-0003-1785-4603",Basic Science Research Program through the National Research Foundation of Korea - Ministry of Science and ICT [2017R1A2B4012582],Basic Science Research Program through the National Research Foundation of Korea - Ministry of Science and ICT,This work was supported by the Basic Science Research Program through the National Research Foundation of Korea funded by the Ministry of Science and ICT (2017R1A2B4012582). This paper was recommended by Associate Editor Dr. Matthew Bolton.,,32,12,13,1,43,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",2168-2291,2168-2305,,IEEE T HUM-MACH SYST,IEEE T. Hum.-Mach. Syst.,DEC,2019,49.0,6,,,,,529.0,539.0,,10.1109/THMS.2019.2903402,0.0,,,11,"Computer Science, Artificial Intelligence; Computer Science, Cybernetics",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Computer Science,JV3RT,,,,,2024-11-14,WOS:000502284100007,0,Task analysis; Automation; Manufacturing systems; Adaptive systems; Smart manufacturing; Human computer interaction; Adaptive automation; formal methods; human-machine interaction; human supervisory control; manufacturing system; SITUATION AWARENESS; VERIFICATION; MODEL; PERFORMANCE; SURPRISES; WORKLOAD; TRUST
5,J,"Ghorbani, E; Keivanpour, S; Sekkay, F; Imbeau, D",,,,"Ghorbani, Elham; Keivanpour, Samira; Sekkay, Firdaous; Imbeau, Daniel",,,Human-centric robotic assembly line design: a fuzzy inference system approach for adaptive workload management,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,,,English,Article,,,,,,Assembly line design problem; Ergonomic risks; Fatigue and recovery model; Fuzzy expert system; Industry 5.0; Supportive robots,PHYSICAL WORKLOAD; BALANCING PROBLEM; ERGONOMIC RISKS; MODEL; OPTIMIZATION,"In the transition from Industry 4.0 to Industry 5.0, the integration of human-centric considerations into manufacturing processes becomes vital. This study advances beyond conventional Industry 4.0 frameworks by introducing a novel fatigue model that emphasizes ergonomic risk management during the design phase of robotic assembly lines. Utilizing a hybrid model that employs a fuzzy inference system based on ergonomist knowledge, this fuzzy approach manages the imprecise nature of ergonomic optimization more accurately than deterministic models and effectively reflects real-world complexities. By evaluating fatigue at both task and worker levels, this fuzzy inference mechanism addresses technical aspects through feasibility studies and significantly improves ergonomic outcomes. The integration of supportive robots is explored through scenario-based analysis, highlighting productivity enhancements and substantial ergonomic benefits in line with Industry 5.0's focus on enhancing worker well-being and operational resilience. The proposed heuristic algorithm enables decision-makers to identify the most efficient solutions tailored to individual preferences, showcasing flexibility and real-world applicability. Empirical validation, enriched with synthesized ergonomic-oriented instances, confirms the superiority of this approach in creating more sustainable and ergonomically optimized assembly lines. Implementing this approach is predicted to decrease system costs by up to 47%, particularly advantageous during human resources crises, by reducing ergonomic risk, recovery needs, and additional capacity requirements for fatigue mitigation. This study contributes to the discourse on the practical implications of Industry 5.0 and demonstrates its applicability in designing ergonomically optimized assembly lines that prioritize long-term productivity and worker satisfaction.","[Ghorbani, Elham; Keivanpour, Samira; Sekkay, Firdaous; Imbeau, Daniel] Polytech Montreal, Dept Math & Ind Engn, Montreal, PQ, Canada",Universite de Montreal; Polytechnique Montreal,"Ghorbani, E (corresponding author), Polytech Montreal, Dept Math & Ind Engn, Montreal, PQ, Canada.",elham.ghorbani-totkaleh@polymtl.ca,,,Mitacs,Mitacs,No Statement Available,,54,0,0,6,6,SPRINGER LONDON LTD,LONDON,"236 GRAYS INN RD, 6TH FLOOR, LONDON WC1X 8HL, ENGLAND",0268-3768,1433-3015,,INT J ADV MANUF TECH,Int. J. Adv. Manuf. Technol.,OCT,2024,134.0,7-8,,,,,3805.0,3827.0,,10.1007/s00170-024-14282-4,0.0,,SEP 2024,23,"Automation & Control Systems; Engineering, Manufacturing",Science Citation Index Expanded (SCI-EXPANDED),Automation & Control Systems; Engineering,F7W0D,,,,,2024-11-14,WOS:001308311700002,0,Assembly line design problem; Ergonomic risks; Fatigue and recovery model; Fuzzy expert system; Industry 5.0; Supportive robots; PHYSICAL WORKLOAD; BALANCING PROBLEM; ERGONOMIC RISKS; MODEL; OPTIMIZATION
6,J,"Thorvald, P; Lindblom, J; Andreasson, R",,,,"Thorvald, Peter; Lindblom, Jessica; Andreasson, Rebecca",,,On the development of a method for cognitive load assessment in manufacturing,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,,,English,Article,,,,,,Cognitive load; Manufacturing; Assembly; Method development; CLAM method,MENTAL WORKLOAD; DESIGN,"The increasing complexity and demands of assembly operations in manufacturing has been shown to lead to increased cognitive load in assembly workers. Previous work has outlined the complexity of an assembly worker's situation both in terms of difficulty and speed of work and there have been a few attempts at creating frameworks and methods for understanding the key aspects of what creates increased cognitive load. This paper presents the development of an analytic method, denoted CLAM (Cognitive Load Assessment for Manufacturing), and a tool for assessing cognitive load in manufacturing, primarily assembly. It outlines the journey of the development as well as discusses and problematizes relevant meta-methodological issues paired with method development. The intended contribution of the work is to make a difference in reducing the cognitive load of assembly workers on the shop floor, thus focusing the development on applicability and usability of the tool in practice. With this purpose in mind, focus of the method development has been on the practitioners, i.e. the method should not require any expert knowledge to be applied. The CLAM method and accompanying documentation such as a handbook containing instructions towards using the method and interpreting the results, is available in an online tool.","[Thorvald, Peter] Univ Skovde, Sch Engn Sci, Box 408, S-54128 Skovde, Sweden; [Lindblom, Jessica] Univ Skovde, Sch Informat, Box 408, S-54128 Skovde, Sweden; [Andreasson, Rebecca] Uppsala Univ, Dept Informat Technol, Box 337, S-75105 Uppsala, Sweden",University of Skovde; University of Skovde; Uppsala University,"Thorvald, P (corresponding author), Univ Skovde, Sch Engn Sci, Box 408, S-54128 Skovde, Sweden.",peter.thorvald@his.se,"Cort, Rebecca/AAE-8618-2020; Lindblom, Jessica/GWD-0497-2022; Thorvald, Peter/C-3143-2012","Thorvald, Peter/0000-0002-8369-5471; Lindblom, Jessica/0000-0003-0946-7531",EU [FP7-314350],EU(European Union (EU)),"This work has been carried out through the Sense&React project, funded by the EU Grant FP7-314350. The CLAM tool is distributed under the MIT licence, an open access licence stating that the software is free and open to anyone to use, distribute, modify, copy, and develop with the only condition being that the MIT licence is continually associated with it. Additionally, the authors would like to express their gratitude to Professor Bjorn Lundell for valuable input to this article.",,56,31,33,4,27,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0736-5845,1879-2537,,ROBOT CIM-INT MANUF,Robot. Comput.-Integr. Manuf.,OCT,2019,59.0,,,,,,252.0,266.0,,10.1016/j.rcim.2019.04.012,0.0,,,15,"Computer Science, Interdisciplinary Applications; Engineering, Manufacturing; Robotics",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Computer Science; Engineering; Robotics,IE9KX,,,,,2024-11-14,WOS:000472694400022,0,Cognitive load; Manufacturing; Assembly; Method development; CLAM method; MENTAL WORKLOAD; DESIGN
7,J,"Belsito, C; Franciosi, C; Di Pasquale, V",,,,"Belsito, Chiara; Franciosi, Chiara; Di Pasquale, Valentina",,,The Impact of Augmented Reality Devices on Operator Performance in Manufacturing Contexts,MANAGEMENT AND PRODUCTION ENGINEERING REVIEW,,,English,Article,,,,,,Human factors; human errors; industry 4.0; manufacturing systems; technology implementation; smart factory,INDUSTRY 4.0; TOOL,"This study explores the impact of augmented reality (AR) on worker performance in manufacturing contexts through an analysis of case studies extant in the literature. Two specific analyses were conducted to assess the impacts of AR technologies on worker performance in terms of objective and subjective metrics, and in terms of their age, experience with the task and experience with the AR device. Regarding objective metrics, the results showed that the task completion time was reduced for some AR devices (projectors, monitors, tablets, smartphones), whereas the use of the head-mounted display (HMD) increased task-completion time; moreover, the error rate was reduced with any AR device compared with traditional methods. Regarding subjective metrics, the analysis underlined that operator perceived a lower workload with the HMD or the monitor compared with traditional methods. The age of operators did not influence performance, while the operators' experience allowed for the improvement of human performance.","[Belsito, Chiara; Di Pasquale, Valentina] Univ Salerno, Dept Ind Engn, I-84084 Fisciano, Italy; [Franciosi, Chiara] Univ Lorraine, CNRS, CRAN, F-54000 Nancy, France",University of Salerno; Centre National de la Recherche Scientifique (CNRS); Universite de Lorraine,"Di Pasquale, V (corresponding author), Univ Salerno, Dept Ind Engn, I-84084 Fisciano, Italy.",vdipasquale@unisa.it,,,,,,,63,0,0,3,3,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES",WARSZAWA,"PL DEFILAD 1, WARSZAWA, 00-901, POLAND",2080-8208,2082-1344,,MANAG PROD ENG REV,Manag. Prod. Eng. Rev.,MAR,2024,15.0,1,,,,,,,,10.24425/mper.2024.149987,0.0,,,25,"Engineering, Industrial",Emerging Sources Citation Index (ESCI),Engineering,OK7I1,,gold,,,2024-11-14,WOS:001207226000002,0,Human factors; human errors; industry 4.0; manufacturing systems; technology implementation; smart factory; INDUSTRY 4.0; TOOL
8,C,"Susihono, W; Saputri, TA",,"Martiningsih, W; Wiryadinata, R; Praptodiyono, S; Santoso, MI; Saraswati, I",,"Susihono, Wahyu; Saputri, Tania Anggi",,,Identify eight aspects of ergonomics to determine the improvement of human-machine interaction work (case studies in manufacturing industry),"1ST INTERNATIONAL CONFERENCE ON INDUSTRIAL, ELECTRICAL AND ELECTRONICS (ICIEE 2018)",MATEC Web of Conferences,,English,Proceedings Paper,"1st International Conference on Industrial, Electrical and Electronics (ICIEE)","SEP 04-05, 2018","Anyer, INDONESIA",,,,,"Manufacturing Industry is one of the industrial activities in Indonesia, manufacturing industry is an industry with main activities is to change raw materials, components, or other parts into goods which is according to company specifications standards. In the production floor, activity in the manufacturing industry, the workers have different job specifications with each other. Some works consist of human-machine interaction is found by the activity between workers and lathe machine, welding maching, milling machine, frais machine, and others. The manufacturing industry will increase its ability to serve a variety of better quality products caused by the desire or encouragement of the customers. In general, according to the increase of corporate targets, its also need improvement from the aspect of work performance. To obtain a description of the proposed improvement based on human performance, it is necessary to identify the eight aspects of ergonomics include the consumption of nutritionalfor workers (energy), muscle power, body posture, environment, time conditions, social conditions, information conditions, and human machine interaction. This research use cross sectional method approach that is research done at one time, no follw up, to find the correlation between independent variable (risk factor) with dependent variable (effect). The conclusion of this research is needed nutrition intake or nutrition to recover the workers, it is necessary to design facilities such as manufacturing aids to reduce the use of excess muscle or appropriate technology (TTG). After the application of TTG (Appropriate Technology) to reduce the excessive use of muscle to the workers, the company should provide the nutritional intake accordance with workload of employees in the manufacturing industry","[Susihono, Wahyu; Saputri, Tania Anggi] Univ Sultan Ageng Tirtayasa, Engn Fac, Ind Engn Dept, Banten, Indonesia",Universitas Sultan Ageng Tirtayasa,"Susihono, W (corresponding author), Univ Sultan Ageng Tirtayasa, Engn Fac, Ind Engn Dept, Banten, Indonesia.",pmy_wahyu@yahoo.co.id,"Susihono, Wahyu/AAW-3092-2021","Susihono, Wahyu/0000-0002-6318-4930",,,,,10,0,0,0,3,E D P SCIENCES,CEDEX A,"17 AVE DU HOGGAR PARC D ACTIVITES COUTABOEUF BP 112, F-91944 CEDEX A, FRANCE",2261-236X,,,MATEC WEB CONF,,,2018,218.0,,,,,,,,4018,10.1051/matecconf/201821804018,0.0,,,9,"Engineering, Industrial; Engineering, Electrical & Electronic; Materials Science, Multidisciplinary",Conference Proceedings Citation Index - Science (CPCI-S),Engineering; Materials Science,BN5DE,,"Green Submitted, Green Published, gold",,,2024-11-14,WOS:000482975500063,0,
9,C,"Lewandowski, R; Olszewska, JI",,,IEEE,"Lewandowski, R.; Olszewska, J. I.",,,Automated Task Scheduling for Automotive Industry,2020 IEEE 24TH INTERNATIONAL CONFERENCE ON INTELLIGENT ENGINEERING SYSTEMS (INES 2020),IEEE International Conference on Intelligent Engineering Systems,,English,Proceedings Paper,24th IEEE International Conference on Intelligent Engineering Systems (INES),"JUL 08-10, 2020",ELECTR NETWORK,,,Intelligent Systems; Industry 4.0 and Smart factory; Manufacturing-oriented Data Analytics; Intelligent Human-Machine Interaction; Expert Systems,SYSTEMS; OPTIMIZATION,"Nowadays, the automotive industry requires an increased use of intelligent systems to endure. In this paper, we present a new solution for automated task scheduling to help automotive industry in efficiently managing garage employees' time and improving the effectiveness of the servicing and maintenance tasks of vehicles. The developed approach consists in a set of interconnected web applications with a model-view-controller based-on architecture and expert-knowledge temporal logic rules to automate the assignment of the daily workload for engineers working on multiple workstations within an automotive company. The proposed intelligent system prioritises and selects tasks for these engineers; the scheduled tasks being automatically ordered and displayed accordingly on screens visible in the related garage workstations. This automated task scheduling system has been successfully deployed within Arnold Clark Automobiles Ltd Company, and the performance of this new application used by a group of engineers under real-world operational conditions have been assessed and analysed.","[Lewandowski, R.; Olszewska, J. I.] Univ West Scotland, Paisley, Renfrew, Scotland",University of West Scotland,"Lewandowski, R (corresponding author), Univ West Scotland, Paisley, Renfrew, Scotland.",,,,Arnold Clark Automobiles Ltd,Arnold Clark Automobiles Ltd,The authors would like to thank Arnold Clark Automobiles Ltd for the support of this work.,,46,7,7,1,8,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",1562-5850,,978-1-7281-1059-2,IEEE INT CONF INTELL,,,2020,,,,,,,159.0,164.0,,10.1109/ines49302.2020.9147169,0.0,,,6,"Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science; Engineering,BQ7WF,,,,,2024-11-14,WOS:000618845500025,0,Intelligent Systems; Industry 4.0 and Smart factory; Manufacturing-oriented Data Analytics; Intelligent Human-Machine Interaction; Expert Systems; SYSTEMS; OPTIMIZATION
