,Keyword,Count
0,industry 4.0,117
1,artificial intelligence,87
2,human factors,82
3,augmented reality,79
4,machine learning,65
5,industry 5.0,61
6,human-robot collaboration,57
7,virtual reality,54
8,manufacturing,51
9,human-robot interaction,42
10,cognitive ergonomics,39
11,cognition,39
12,safety,37
13,human error,37
14,ergonomics,33
15,cognitive load,32
16,deep learning,32
17,mental workload,30
18,cognitive workload,30
19,human-computer interaction,30
20,robotics,29
21,eye tracking,28
22,assembly,27
23,eeg,26
24,eye-tracking,25
25,human reliability analysis,24
26,operator 4.0,24
27,iot,24
28,human-machine interaction,23
29,smart manufacturing,23
30,digital twin,23
31,decision making,22
32,automation,22
33,user experience,22
34,cognitive computing,22
35,construction safety,19
36,decision-making,18
37,construction industry,17
38,mixed reality,17
39,usability,17
40,human–robot collaboration,16
41,situation awareness,16
42,stress,16
43,cognitive systems,16
44,workload,16
45,manual assembly,16
46,internet of things,16
47,trust,16
48,knowledge management,15
49,learning,15
50,sustainability,15
51,attention,14
52,ai,14
53,collaborative robotics,14
54,simulation,14
55,training,14
56,cognitive manufacturing,14
57,cognitive work analysis,13
58,mental fatigue,13
59,cyber-physical systems,13
60,human performance,12
61,cognitive,12
62,hci,12
63,construction workers,12
64,social cognitive theory,12
65,human-centered design,12
66,cream,12
67,cognitive robotics,12
68,computer vision,12
69,maintenance,12
70,fuzzy cognitive maps,12
71,human computer interaction,11
72,digital transformation,11
73,human–robot interaction,11
74,construction,11
75,aging,11
76,reinforcement learning,11
77,fatigue,11
78,collaborative robots,10
79,cognitive architecture,10
80,human factor,10
81,cognitive biases,10
82,artificial intelligence (ai),10
83,productivity,10
84,safety behavior,10
85,big data,10
86,performance,10
87,human-in-the-loop,10
88,collaboration,10
89,bayesian network,10
90,creativity,10
91,innovation,10
92,assistance systems,9
93,teleoperation,9
94,additive manufacturing,9
95,interaction design,9
96,ontology,9
97,working memory,9
98,visualization,9
99,neuroergonomics,9
100,occupational health,9
101,healthcare,9
102,covid-19,9
103,safety management,9
104,unsafe behavior,9
105,perception,9
106,mental models,9
107,cognitive bias,9
108,cognitive model,8
109,human cognition,8
110,classification,8
111,human-machine interface,8
112,user interface,8
113,electroencephalography (eeg),8
114,cognitive human-robot interaction,8
115,optimization,8
116,risk perception,8
117,security,8
118,gamification,8
119,cognitive models,8
120,cognitive ability,8
121,product design,8
122,psychology,8
123,smart factory,8
124,cognitive task,8
125,5g,8
126,cognitive engineering,8
127,digital twins,8
128,hmi,7
129,process safety,7
130,cognitive performance,7
131,risk assessment,7
132,cognitive development,7
133,cyber-physical system,7
134,autonomous systems,7
135,video games,7
136,virtual training,7
