,Publication Type,Article Title,Authors,Source Title,Volume,Start Page,End Page,Publication Year,Publication Date,ISSN,DOI,DOI Link,Author Keywords,Abstract,Issue,Conference Title
0,JOUR,Bee algorithms for parallel two-sided assembly line balancing problem with walking times,"['Tapkan, Pınar', 'Özbakır, Lale', 'Baykasoğlu, Adil']",Applied Soft Computing,39,275,291,2016,2016/02/01/,1568-4946,https://doi.org/10.1016/j.asoc.2015.11.017,['https://www.sciencedirect.com/science/article/pii/S1568494615007358'],"['Parallel two-sided assembly line balancing problem', 'Walking times', 'Bees algorithm', 'Artificial bee colony algorithm', 'Mathematical programming model']","Production lines, designed in a serial manner, have attracted the attention of researchers for many years. Line efficiency, throughput time and workload balancing are the main concerns regarding assembly lines, due to the high volume production. Recently, specific assembly line configurations, such as two-sided and parallel lines, have been addressed by researchers within the operational levels of production. Parallel two-sided assembly lines, rather a new research area, allocate more flexible workers and reduce throughput time by incorporating the advantages of two-sided and parallel assembly lines. Since parallel two-sided assembly lines are utilized to produce large-scale products, such as automobiles, trucks, and buses in industry; they also require a significant worker movement between parallel lines because of the unavoidable walking distances between lines. In this respect, different from the existing literature, walking distances have been included in parallel two-sided assembly line balancing problem. The main purpose of this paper is to introduce parallel two-sided assembly line balancing problem with walking times and to propose the implementation of Bees Algorithm and Artificial Bee Colony algorithm due to the NP-hardness of the problem. An extensive computational study is also carried out and the comparative results are presented.",,
1,JOUR,A framework for human–robot collaboration enhanced by preference learning and ergonomics,"['Meregalli Falerni, Matteo', 'Pomponi, Vincenzo', 'Karimi, Hamid Reza', 'Lavit Nicora, Matteo', 'Dao, Le Anh', 'Malosio, Matteo', 'Roveda, Loris']",Robotics and Computer-Integrated Manufacturing,89,102781,,2024,2024/10/01/,0736-5845,https://doi.org/10.1016/j.rcim.2024.102781,['https://www.sciencedirect.com/science/article/pii/S073658452400067X'],"['HRC', 'HRI', 'Machine learning', 'Active preference learning', 'Ergonomics']","Industry 5.0 aims to prioritize human operators, focusing on their well-being and capabilities, while promoting collaboration between humans and robots to enhance efficiency and productivity. The integration of collaborative robots must ensure the health and well-being of human operators. Indeed, this paper addresses the need for a human-centered framework proposing a preference-based optimization algorithm in a human–robot collaboration (HRC) scenario with an ergonomics assessment to improve working conditions. The HRC application consists of optimizing a collaborative robot end-effector pose during an object-handling task. The following approach (AmPL-RULA) utilizes an Active multi-Preference Learning (AmPL) algorithm, a preference-based optimization method, where the user is requested to iteratively provide qualitative feedback by expressing pairwise preferences between a couple of candidates. To address physical well-being, an ergonomic performance index, Rapid Upper Limb Assessment (RULA), is combined with the user’s pairwise preferences, so that the optimal setting can be computed. Experimental tests have been conducted to validate the method, involving collaborative assembly during the object handling performed by the robot. Results illustrate that the proposed method can improve the physical workload of the operator while easing the collaborative task.",,
2,JOUR,How does the application of augmented reality affect the mental workload of human workers? A collection of preliminary results,"['Maretto, Leonardo', 'Battini, Daria', 'Faccio, Maurizio', 'Granata, Irene', 'Jaber, Mohamad Y.']",IFAC-PapersOnLine,58,760,765,2024,2024/01/01/,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.210,['https://www.sciencedirect.com/science/article/pii/S2405896324016331'],"['augmented reality', 'Industry 5.0', 'mental workload', 'digitalisation', 'eye tracking']","Digitalisation and the introduction of smart manufacturing technologies are changing the shape of industrial shop floors. For manufacturing companies, it becomes imperative to assess the operational and economic advantages derived from these technologies. Simultaneously, in alignment with the Industry 5.0 paradigm, understanding the influence of digital technologies on human workers, especially those directly interacting with these technologies, is equally critical. This study focuses on augmented reality (AR) as a specific technology, conducting an experimental campaign to explore its effects on learning curves and cognitive workload. Voluntary participants engaged in learning manual tasks of varying durations and required dexterity. This study evaluates the impact of AR on the mental workload of operators, utilising two main eye-related measures: fixation duration and pupil diameter. Preliminary results indicate that augmented reality increases the cognitive workload of workers undergoing training.",19,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024
3,JOUR,Using gesture and speech communication modalities for safe human-drone interaction in construction,"['Zhu, Zixian', 'Cheng, Jiun-Yao', 'Jeelani, Idris', 'Gheisari, Masoud']",Advanced Engineering Informatics,62,102827,,2024,2024/10/01/,1474-0346,https://doi.org/10.1016/j.aei.2024.102827,['https://www.sciencedirect.com/science/article/pii/S1474034624004750'],"['Human-Drone Interaction', 'Gesture', 'Speech', 'Virtual Reality (VR)', 'Safety', 'Drone', 'Construction']","Drones are increasingly being used in the construction industry for numerous applications. However, their presence poses safety risks to construction workers who work around them but have limited control and information about these drones. To ensure safety, general construction workers who are not part of the pilot teams should also be able to communicate their concerns with drones effectively and naturally. Despite its importance, research on human-drone communication within construction for non-operator workers is scarce. This study developed and evaluated communication protocols using gesture and speech modalities to ensure safe human-drone interactions for non-operator workers in construction environments. An immersive VR environment replicating construction site dynamics was developed, enabling workers to utilize gesture or speech communication protocols while working with drones. A total of 100 participants were recruited for the user-centered study analysis on an immersive VR construction site, and the safety implications and cognitive loads of both protocols were assessed both quantitatively and qualitatively. The findings suggest that gesture-based communication is more effective than speech-based communication in mitigating risks and alleviating the negative impacts of drones without imposing additional cognitive strain on users on construction sites.",,
4,JOUR,Survey on Human-Robot Interaction for Robot Programming in Industrial Applications,"['Villani, Valeria', 'Pini, Fabio', 'Leali, Francesco', 'Secchi, Cristian', 'Fantuzzi, Cesare']",IFAC-PapersOnLine,51,66,71,2018,2018/01/01/,2405-8963,https://doi.org/10.1016/j.ifacol.2018.08.236,['https://www.sciencedirect.com/science/article/pii/S2405896318313600'],"['Intelligent interfaces', 'Robotics technology', 'Human operator support', 'Multi-modal interaction', 'Design methodology for HMS']","The recent trends in modern industry highlight an increasing use of robots for a wide range of applications, which span from established manufacturing operations to novel tasks characterized by a close collaboration with the operators. Although human-robot collaboration allows to relieve operators of exhausting works, an effective collaboration requires a straightforward interaction to foster the use of robot assistants. This paper provides a comprehensive survey on human-robot interaction approaches and related interfaces addressed to robot programming. An overview of on-line and off-line robot programming techniques is first presented. Then, novel intuitive interaction means, such as those based on multi-modal interaction, virtual and augmented reality, are considered. The paper aims at pointing out that collaborative robotics can effectively reduce operator’s physical workload if easy to use interfaces for robot programming are provided.",11,16th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2018
5,JOUR,Evaluating visual encoding quality of a mixed reality user interface for human–machine co-assembly in complex operational terrain,"['Wang, Zhuo', 'Zhang, Xiangyu', 'Li, Liang', 'Zhou, Yiliang', 'Lu, Zexin', 'Dai, Yuwei', 'Liu, Chaoqian', 'Su, Zekun', 'Bai, Xiaoliang', 'Billinghurst, Mark']",Advanced Engineering Informatics,58,102171,,2023,2023/10/01/,1474-0346,https://doi.org/10.1016/j.aei.2023.102171,['https://www.sciencedirect.com/science/article/pii/S1474034623002999'],"['Visual encoding', 'Mixed reality', 'User interface', 'Co-assembly', 'Complex operational terrain']","During human–machine collaboration in manufacturing activities, it is important to provide real-time annotations in the three-dimensional workspace for local workers who may lack relevant experience and knowledge. For example, in MR assembly, workers need to be alerted to avoid entering hazardous areas when manually replacing components. Recently, many researchers have explored various visual cues for expressing physical task progress information in the MR interface of intelligent systems. However, the relationship between the implantation of visual cues and the balance of interface cognition has not been well revealed, especially in tasks that require annotating hazardous areas in complex operational terrains. In this study, we developed a novel MR interface for an intelligent assembly system that supports local scene sharing based on dynamic 3D reconstruction, remote expert behavior intention recognition based on deep learning, and local personnel operational behavior visual feedback based on external bounding box. We compared the encoding results of the proposed MR interface with 3D annotations combined with 3D sketch cues (3DS), which combines 3D spatial cues (3DSC) and 3DS combined with adaptive cues (AVC), through a case study. We found that for physical tasks that require specific area annotations, 3D annotations with context (3DAC) can better improve the quality of manual work and regulate the cognitive load distribution of the MR interface more reasonably.",,
6,JOUR,A multi-objective complex product assembly scheduling problem considering transport time and worker competencies,"['Li, Huiting', 'Liu, Jianhua', 'Wang, Yue', 'Zhuang, Cunbo']",Advanced Engineering Informatics,58,102233,,2023,2023/10/01/,1474-0346,https://doi.org/10.1016/j.aei.2023.102233,['https://www.sciencedirect.com/science/article/pii/S1474034623003610'],"['Complex products', 'Assembly scheduling', 'Genetic algorithm', 'Multi-objective', 'Hybrid flow shop']","The hybrid flow shop scheduling problem (HFSP) is a research hotspot in the shop scheduling problem. However, few studies have investigated HFSP involving parallel machine scheduling and worker competencies. Therefore, this study investigates a complex product assembly line scheduling problem considering parallel team scheduling, worker competencies, and transport time. The makespan, transport time, imbalance degree of team workload, and imbalance degree of cycle time are taken as optimization objectives. First, a mathematical model considering transport time and worker competencies is developed, and then a mixed encoding and decoding method is proposed. Second, an algorithm that hybridizes the genetic algorithm and simulated annealing algorithm is proposed, involving an improved Nawaz-Enscore-Ham heuristic method and a strengthened elite retention strategy to improve the quality of the solution. Finally, based on nine examples generated from real production statuses, the proposed algorithm is compared with the other four algorithms. The results show that the proposed algorithm is superior in terms of the quality and efficiency of solutions.",,
7,JOUR,Modelling Workforce Aging in Job Rotation Problems,"['Boenzi, F.', 'Digiesi, S.', 'Mossa, G.', 'Mummolo, G.', 'Romano, V.A.']",IFAC-PapersOnLine,48,604,609,2015,2015/01/01/,2405-8963,https://doi.org/10.1016/j.ifacol.2015.06.148,['https://www.sciencedirect.com/science/article/pii/S2405896315003870'],"['Aging Workforce Management', 'Ergonomics', 'Job Rotation Scheduling, Mathematical Programming']","Human factor is considered as a cost effective alternative to expensive automated solutions, as well as an easily interchangeable high flexible resource. However, for many years the influence of human behavior on production system performance has been underestimated and a lot of unrealistic assumptions have been used to simplify the human component modeling. Nowadays, population aging is acknowledged as a global trend. Among individual factors impacting on workers’ performance, high attention is being paid to the age from scientific community, policy-makers and business leaders. In this paper, demographic aspects and their implications on workforce composition are illustrated; successively, main findings on age-related performance characteristics are summarized. The authors propose an age- related model which aims to find optimal job rotation schedules in work environments characterized by low load manual tasks with a high frequency of repetition (e.g. assembly lines). The model is an integer programming model allowing for the maximization of the overall system performance jointly reducing and balancing human workloads and ergonomic risk within acceptable limits. A numerical example is proposed.",3,15th IFAC Symposium onInformation Control Problems inManufacturing
8,JOUR,"Models for assembly line balancing by temporal, spatial and ergonomic risk attributes","['Bautista, Joaquín', 'Batalla-García, Cristina', 'Alfaro-Pozo, Rocío']",European Journal of Operational Research,251,814,829,2016,2016/06/16/,0377-2217,https://doi.org/10.1016/j.ejor.2015.12.042,['https://www.sciencedirect.com/science/article/pii/S0377221715011819'],"['Manufacturing', 'Ergonomic risks', 'Flexible manufacturing systems', 'Assembly line balancing', 'Linear programming']","Assembly lines with mixed products present ergonomic risks that can affect productivity of workers and lines. Because of that, the line balancing must consider the risk of injury in regard with the set of tasks necessary to process a product unit, in addition to other managerial and technological attributes such as the workload or the space. Therefore, in this paper we propose a new approach to solve the assembly line balancing problem considering temporal, spatial and ergonomic attributes at once. We formulate several mathematical models and we analyze the behavior of one of these models through case study linked to Nissan. Furthermore, we study the effect of the demand plan variations and ergonomic risk on the line balancing result.",3,
9,JOUR,Remarks from an experimental study on human-robot collaborative assembly,"['Panagou, Sotirios', 'Neumann, W. Patrick', 'Greig, Michael A.', 'Fruggiero, Fabio']",Procedia Computer Science,232,1242,1247,2024,2024/01/01/,1877-0509,https://doi.org/10.1016/j.procs.2024.01.122,['https://www.sciencedirect.com/science/article/pii/S1877050924001224'],"['human-robot', 'sociotechnical system', 'collaborative assembly', 'experimental study', 'design']","Human robot collaboration is becoming the norm in the workplace, due to the benefits robots can bring to efficiency and production. However, this creates highly complex and dynamic workplaces that human operators need to adapt to. Industry 5.0 promotes the use of robotics and smart technologies in a more human-centric way. However, research on how operators are affected by those changes is needed to better understand how to move towards human-centricity. As such, an experimental study was designed and performed on human robot collaborative assembly. The main aim was to investigate the correlation between cognitive load and quality due to collaboration. Here, the preliminary results of the experimental study are presented in order to remark relevant states influencing work allocation. The results showcased the need for better training and more knowledge for the operators, as well as involving operators in process and workplace design. This study helps contribute knowledge on robot implementation and process design for human robot collaboration for both researchers and operations management, as it showcases the need to involve operators in those steps due to the feedback they can provide due to their experience.",,5th International Conference on Industry 4.0 and Smart Manufacturing (ISM 2023)
