,type_of_reference,primary_title,authors,journal_name,volume,number,start_page,end_page,year,date,secondary_title,issn,doi,urls,keywords,abstract
0,JOUR,How does the application of augmented reality affect the mental workload of human workers? A collection of preliminary results,"['Maretto, Leonardo', 'Battini, Daria', 'Faccio, Maurizio', 'Granata, Irene', 'Jaber, Mohamad Y.']",IFAC-PapersOnLine,58,19,760,765,2024,2024/01/01/,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.210,['https://www.sciencedirect.com/science/article/pii/S2405896324016331'],"['augmented reality', 'Industry 5.0', 'mental workload', 'digitalisation', 'eye tracking']","Digitalisation and the introduction of smart manufacturing technologies are changing the shape of industrial shop floors. For manufacturing companies, it becomes imperative to assess the operational and economic advantages derived from these technologies. Simultaneously, in alignment with the Industry 5.0 paradigm, understanding the influence of digital technologies on human workers, especially those directly interacting with these technologies, is equally critical. This study focuses on augmented reality (AR) as a specific technology, conducting an experimental campaign to explore its effects on learning curves and cognitive workload. Voluntary participants engaged in learning manual tasks of varying durations and required dexterity. This study evaluates the impact of AR on the mental workload of operators, utilising two main eye-related measures: fixation duration and pupil diameter. Preliminary results indicate that augmented reality increases the cognitive workload of workers undergoing training."
1,JOUR,Capturing the system requirements for adopting Industry 5.0 in quality inspection: an evidence-based approach,"['Solmaz, Serkan', 'Henderickx, Rik', 'den Bergh, Jan Van', 'Birem, Merwan']",Procedia CIRP,128,,369,374,2024,2024/01/01/,34th CIRP Design Conference,2212-8271,https://doi.org/10.1016/j.procir.2024.03.016,['https://www.sciencedirect.com/science/article/pii/S2212827124007157'],"['Manual assembly', 'quality inspection', 'human-centered design', 'Industry 5.0']","Manufacturers face the challenge of adopting digital solutions to maintain competitiveness in the era of flexible manufacturing. The human remains a crucial asset in ensuring this flexibility. Industry 5.0 strongly emphasizes human-centric approaches to achieve sustainability and resilience in the industry. Notably, in-line quality inspection stands out among the assembly operations to minimize waste and ensure quality. With the increasing trend toward high-mix low-volume manufacturing, the reliance on operators’ traditional tools and cognitive skills for quality inspections is no longer sufficient. Complexity escalates when manual assemblies involve components of varying sizes. Technologies such as augmented reality and computer vision can potentially support quality inspection in manual assembly. However, successful implementation depends on comprehending the specific requirements of the end users. We propose a qualitative approach to refining the requirements in applied research projects that aim to implement human-centered technologies. The approach was applied in a research project for in-line quality inspection with 18 professionals from two manufacturing companies. We instantiated the method using qualitative methods including questionnaires and focus groups with diverse stakeholders with demonstrations. We further investigated the verification and implementation of our method."
2,JOUR,"Danger, high voltage! Using EEG and EOG measurements for cognitive overload detection in a simulated industrial context","['Morton, Jessica', 'Zheleva, Aleksandra', 'Van Acker, Bram B.', 'Durnez, Wouter', 'Vanneste, Pieter', 'Larmuseau, Charlotte', 'De Bruyne, Jonas', 'Raes, Annelies', 'Cornillie, Frederik', 'Saldien, Jelle', 'De Marez, Lieven', 'Bombeke, Klaas']",Applied Ergonomics,102,,103763,,2022,2022/07/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2022.103763,['https://www.sciencedirect.com/science/article/pii/S0003687022000862'],"['Industrial setting', 'Assembly task', 'Cognitive workload', 'Cognitive ergonomics', 'Overload', 'EEG', 'EOG']","Industrial settings will be characterized by far-reaching production automation brought about by advancements in robotics and artificial intelligence. As a consequence, human assembly workers will need to adapt quickly to new and more complex assembly procedures, which are most likely to increase cognitive workload, or potentially induce overload. Measurement and optimization protocols need to be developed in order to be able to monitor workers’ cognitive load. Previous studies have used electroencephalographic (EEG, measuring brain activity) and electrooculographic (EOG, measuring eye movements) signals, using basic computer-based static tasks and without creating an experience of overload. In this study, EEG and EOG data was collected of 46 participants performing an ecologically valid assembly task while inducing three levels of cognitive load (low, high and overload). The lower individual alpha frequency (IAF) was identified as a promising marker for discriminating between different levels of cognitive load and overload."
3,JOUR,Using gesture and speech communication modalities for safe human-drone interaction in construction,"['Zhu, Zixian', 'Cheng, Jiun-Yao', 'Jeelani, Idris', 'Gheisari, Masoud']",Advanced Engineering Informatics,62,,102827,,2024,2024/10/01/,,1474-0346,https://doi.org/10.1016/j.aei.2024.102827,['https://www.sciencedirect.com/science/article/pii/S1474034624004750'],"['Human-Drone Interaction', 'Gesture', 'Speech', 'Virtual Reality (VR)', 'Safety', 'Drone', 'Construction']","Drones are increasingly being used in the construction industry for numerous applications. However, their presence poses safety risks to construction workers who work around them but have limited control and information about these drones. To ensure safety, general construction workers who are not part of the pilot teams should also be able to communicate their concerns with drones effectively and naturally. Despite its importance, research on human-drone communication within construction for non-operator workers is scarce. This study developed and evaluated communication protocols using gesture and speech modalities to ensure safe human-drone interactions for non-operator workers in construction environments. An immersive VR environment replicating construction site dynamics was developed, enabling workers to utilize gesture or speech communication protocols while working with drones. A total of 100 participants were recruited for the user-centered study analysis on an immersive VR construction site, and the safety implications and cognitive loads of both protocols were assessed both quantitatively and qualitatively. The findings suggest that gesture-based communication is more effective than speech-based communication in mitigating risks and alleviating the negative impacts of drones without imposing additional cognitive strain on users on construction sites."
4,JOUR,Evaluating visual encoding quality of a mixed reality user interface for human–machine co-assembly in complex operational terrain,"['Wang, Zhuo', 'Zhang, Xiangyu', 'Li, Liang', 'Zhou, Yiliang', 'Lu, Zexin', 'Dai, Yuwei', 'Liu, Chaoqian', 'Su, Zekun', 'Bai, Xiaoliang', 'Billinghurst, Mark']",Advanced Engineering Informatics,58,,102171,,2023,2023/10/01/,,1474-0346,https://doi.org/10.1016/j.aei.2023.102171,['https://www.sciencedirect.com/science/article/pii/S1474034623002999'],"['Visual encoding', 'Mixed reality', 'User interface', 'Co-assembly', 'Complex operational terrain']","During human–machine collaboration in manufacturing activities, it is important to provide real-time annotations in the three-dimensional workspace for local workers who may lack relevant experience and knowledge. For example, in MR assembly, workers need to be alerted to avoid entering hazardous areas when manually replacing components. Recently, many researchers have explored various visual cues for expressing physical task progress information in the MR interface of intelligent systems. However, the relationship between the implantation of visual cues and the balance of interface cognition has not been well revealed, especially in tasks that require annotating hazardous areas in complex operational terrains. In this study, we developed a novel MR interface for an intelligent assembly system that supports local scene sharing based on dynamic 3D reconstruction, remote expert behavior intention recognition based on deep learning, and local personnel operational behavior visual feedback based on external bounding box. We compared the encoding results of the proposed MR interface with 3D annotations combined with 3D sketch cues (3DS), which combines 3D spatial cues (3DSC) and 3DS combined with adaptive cues (AVC), through a case study. We found that for physical tasks that require specific area annotations, 3D annotations with context (3DAC) can better improve the quality of manual work and regulate the cognitive load distribution of the MR interface more reasonably."
5,JOUR,Using action research to develop human factors approaches to improve assembly quality during early design and ramp-up of an assembly line,"['Village, J.', 'Salustri, F.A.', 'Neumann, W.P.']",International Journal of Industrial Ergonomics,61,,107,119,2017,2017/09/01/,,0169-8141,https://doi.org/10.1016/j.ergon.2017.05.006,['https://www.sciencedirect.com/science/article/pii/S0169814117302640'],"['Human factors', 'Ergonomics', 'Production assembly design', 'Quality improvement', 'Design for assembly', 'House of quality']","Engineers at a large electronics new product initiation site were interested in developing human factors (HF) approaches to help improve assembly quality during two stages of their production assembly design: early design of tasks, fixtures and tooling; and during early ramp-up of new assembly lines at outsourcing sites. Researchers worked in an action research approach with company engineers and ergonomists to integrate HF into both design stages. This paper presents the human factors approaches and discusses the challenges of using human factors to improve assembly quality. For the first stage of early design, a HF-design for assembly (HF-DFA) scorecard was developed with 22 items scored on a 0 (no risk or problem) to 2 (high risk or problems) scale. Items included physical risks, such as grip size and force, movement risks, such as re-grasping or re-orienting, visual risks, such as visual accuracy and inspection difficulty, and cognitive issues such as ability to detect a problem and risk of damage to part or component. High scores were associated with assembly tasks that were both reported as difficult by operators, and also had quality problems. The HF-DFA was adopted as a controlled engineering document and used to proactively score assembly tasks prior to final design of tasks, fixtures and tooling. In the second stage of early ramp, researchers combined the HF-DFA and other HF and performance-based metrics into a modified HF-house of quality (HF-HoQ) approach where the focus was on “worker” requirements rather than the traditional customer requirements. The HF-HoQ was evaluated using video of four identical tasks performed at different outsourcing locations that had a seven-fold difference in defect rates. The HF-HoQ successfully detected the site with the highest defect rate, but not the lowest. The authors recommend further testing and development of approaches that attempt to bring insight from HF to the issue of improving assembly quality. Relevance to industry Human factors is broader than injury prevention, and has been linked to assembly quality. Two HF approaches were developed to help improve quality in early design stages and during early ramp-up of assembly lines. Companies are encouraged to develop and evaluate HF approaches for improving assembly quality."
6,JOUR,Manufacturing assembly serial and cells layouts impact on rest breaks and workers’ health,"['de Negreiros, Alexandher Weslley F.T.R.W.', 'Rodrigues da Silva, Patrícia', 'Arezes, Pedro Miguel Ferreira Martins', 'Dangelino, Roberta', 'Padula, Rosimeire Simprini']",International Journal of Industrial Ergonomics,70,,22,27,2019,2019/03/01/,,0169-8141,https://doi.org/10.1016/j.ergon.2019.01.005,['https://www.sciencedirect.com/science/article/pii/S0169814118301252'],"['Ergonomics', 'Lean production', 'Occupational health', 'Design of systems']","Rest breaks are necessary for workers to avoid and/or recover from overall fatigue and to preserve their health. The type of assembly layout, either in lines or in cells, is a determining factor for organizing work at manufacturing companies, and it could also influence workers' work break and microbreak times. This study aimed at evaluating rest breaks in serial and cell assembly layout configurations as well as the layout's influence on workers' health. One hundred and twenty workers from a large automobile industry, divided into two groups (series and cells), were measured for their cycle-times and break times through biomechanical exposure analysis and questionnaires to evaluate the behaviors, physical, cognitive, and mental health. The Kolmogorov-Smirnov test was used to verify the distribution of the data with a significance level of p < 0.05. The cell assembly-line layouts had the greatest cycle-time and break time, and the workers had a higher level of physical activity (p < 0.05). The serial assembly-line layouts did not generate major occupational risk, need for rest, reduced capacity for work, or higher levels of stress for the workers. The production layouts differed in relation to the cycle-times for just-in-time manufacturing, but there was no difference in relation to the production demands and to the workers' health. Relevance to industry When taken at appropriate times, rest breaks in the workplace can improve workers’ overall health and productive performance, which reduces healthcare costs and improves industrial productivity."
7,JOUR,Exploring the Effects of Industry 4.0/5.0 on Human Factors: A Preliminary Systematic Literature Review,"['Yahia, Esma', 'Magnani, Florian', 'Joblot, Laurent', 'Passalacqua, Mario', 'Pellerin, Robert']",IFAC-PapersOnLine,58,19,539,544,2024,2024/01/01/,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.268,['https://www.sciencedirect.com/science/article/pii/S2405896324016975'],"['Industry 5.0', 'Human factors', 'Cognitive factors', 'Psychological factors', 'Physical factors']","Industry 5.0, built on the foundation of Industry 4.0, aims to integrate human capabilities and principles for a sustainable and human-centric industrial paradigm. This article proposes a systematic literature review to explore the empirical effects of Industry 4.0/5.0 (I4.0/5.0) technologies on human factors, emphasizing the often overlooked physical, psychological, and cognitive dimensions. The methodology, adhering to PRISMA guidelines, involved a Scopus search spanning from 2005-2023, ultimately resulting in a selection of 15 articles. The preliminary results depict the studied I4.0/5.0 technologies and their impact on workers’ physical, psychological, and cognitive aspects. Some (I4.0/5.0) technologies received significant attention, such as human-robot communication and human-robot interaction, while others remain understudied. The limited number of papers makes it difficult to compare and generalize the empirical results reported. In this regard, we propose avenues for refining this systematic literature review in future research endeavors."
8,JOUR,Supervised stowing as enabling technology for the integration of impaired operators in the industry,"['D’Avella, Salvatore', 'Tripicchio, Paolo']",Procedia Manufacturing,51,,171,178,2020,2020/01/01/,30th International Conference on Flexible Automation and Intelligent Manufacturing (FAIM2021),2351-9789,https://doi.org/10.1016/j.promfg.2020.10.025,['https://www.sciencedirect.com/science/article/pii/S2351978920318801'],"['Industrial robotics', 'Robotic picking', 'Universal Jamming Gripper', 'Computer Vision', 'ROS', 'Enabling technology']","Nowadays, the number of jobs accessible to impaired people in industries is limited. However, minimum changes in the plant could allow the employment of such individuals. Technology is the way to assist such workers to perform at the best they could and to avoid disabilities to limit their potentialities. This work proposes a supervised stowing system that will allow impaired operators to perform the task of order-picking in cluttered environments, despite their disabilities. Pick and place is the most repetitive and common task in industrial manufacturing and warehouses, requiring complex cognitive skills for robots. In the proposed system, the task is physically executed by a robot, while the mental process of selecting the correct object to pick is demanded to the operator. This action is performed through an easy to use graphical user interface. An experimental campaign has been conducted to demonstrate the effectiveness of the proposed assistive robotic system."
9,JOUR,Assessing user performance in augmented reality assembly guidance for industry 4.0 operators,"['Marino, Emanuele', 'Barbieri, Loris', 'Bruno, Fabio', 'Muzzupappa, Maurizio']",Computers in Industry,157-158,,104085,,2024,2024/05/01/,,0166-3615,https://doi.org/10.1016/j.compind.2024.104085,['https://www.sciencedirect.com/science/article/pii/S0166361524000137'],"['Augmented Reality', 'Industry 4.0', 'Assembly guidance', 'Hand-held devices', 'User performance', 'AR Foundation']","In the realm of smart manufacturing, Augmented Reality (AR) technology has gained increasing attention among researchers and manufacturers due to its practicality and adaptability. For this reason, it has been widely embraced in various industrial fields, especially for helping operators assemble products. Despite its widespread adoption, there is a debate in the research community about how effective AR is for improving user performance in assembly tasks, particularly when using handheld devices. These disparities can be attributed to differences in experimental approaches, such as the frequent use of qualitative methods, the inclusion of non-representative users, and the limited number of comprehensive case studies. In response to this, the paper delved into the benefits of AR applications, with a specific focus on measuring user performance and the cognitive workload perceived by users during assembly activities. To this end, an AR assembly guidance tool has been developed to assist users during assembly tasks, running on a mobile device, specifically a tablet, for freedom of movement and high portability. Experimentation involved the assembly of a comprehensive case study and a diverse user group, allowing the comparison representative users and experienced industrial operators. The results were promising, indicating that AR technology effectively enhances user performance during assembly-guided activities compared to conventional methods, particularly when users are unfamiliar with the task at hand. This study brings valuable insights by addressing previous research limitations and providing strong evidence of AR's positive impact on user performance in real-world assembly scenarios."
10,JOUR,Exploration of digitalized presentation of information for Operator 4.0: Five industrial cases,"['Li, Dan', 'Fast-Berglund, Åsa', 'Paulin, Dan', 'Thorvald, Peter']",Computers & Industrial Engineering,168,,108048,,2022,2022/06/01/,,0360-8352,https://doi.org/10.1016/j.cie.2022.108048,['https://www.sciencedirect.com/science/article/pii/S0360835222001188'],"['Industry 4.0', 'Operator 4.0', 'Information Support Technology', 'Digitalization', 'Information', 'Manufacturing']","In the digital transformation of manufacturing companies towards Industry 4.0, shop-floor operators of the future, Operator 4.0, will require digitalized presentation of information as cognitive support for their work. This paper explores five industrial cases where Information Support Technology have been conceptualized and developed. These cases have exemplified how digitalized presentation of information can be approached with considerations of operators with varying cognitive work situations and production characteristics. Furthermore, these new technical capabilities have increased the level of cognitive automation to support operators’ individual abilities to perform their work in an increasingly more complex production environment. In conclusion, Information Support Technology in the service of Operator 4.0 is intimately linked with digitalization strategies for transformation towards Industry 4.0."
11,JOUR,Remarks from an experimental study on human-robot collaborative assembly,"['Panagou, Sotirios', 'Neumann, W. Patrick', 'Greig, Michael A.', 'Fruggiero, Fabio']",Procedia Computer Science,232,,1242,1247,2024,2024/01/01/,5th International Conference on Industry 4.0 and Smart Manufacturing (ISM 2023),1877-0509,https://doi.org/10.1016/j.procs.2024.01.122,['https://www.sciencedirect.com/science/article/pii/S1877050924001224'],"['human-robot', 'sociotechnical system', 'collaborative assembly', 'experimental study', 'design']","Human robot collaboration is becoming the norm in the workplace, due to the benefits robots can bring to efficiency and production. However, this creates highly complex and dynamic workplaces that human operators need to adapt to. Industry 5.0 promotes the use of robotics and smart technologies in a more human-centric way. However, research on how operators are affected by those changes is needed to better understand how to move towards human-centricity. As such, an experimental study was designed and performed on human robot collaborative assembly. The main aim was to investigate the correlation between cognitive load and quality due to collaboration. Here, the preliminary results of the experimental study are presented in order to remark relevant states influencing work allocation. The results showcased the need for better training and more knowledge for the operators, as well as involving operators in process and workplace design. This study helps contribute knowledge on robot implementation and process design for human robot collaboration for both researchers and operations management, as it showcases the need to involve operators in those steps due to the feedback they can provide due to their experience."
12,JOUR,Software framework concept with visual programming and digital twin for intuitive process creation with multiple robotic systems,"['Niermann, Dario', 'Doernbach, Tobias', 'Petzoldt, Christoph', 'Isken, Melvin', 'Freitag, Michael']",Robotics and Computer-Integrated Manufacturing,82,,102536,,2023,2023/08/01/,,0736-5845,https://doi.org/10.1016/j.rcim.2023.102536,['https://www.sciencedirect.com/science/article/pii/S0736584523000121'],"['Smart Manufacturing', 'Programming', 'Industry 4.0', 'Operator 4.0', 'Human Robot Interaction', 'Process Planning', 'User Centric Design', 'Human-machine interaction', 'Software architecture', 'Visual programming', 'Digital twin']","With the progressive digitalization in industrial manufacturing, the usage of complex robotic systems in both intralogistics and production is expected to increase. This proposes a challenge for planners and shop floor workers, as programming and interacting with these various systems leads to a high cognitive load. Especially the broad range of different manufacturer specific software leads to a number of problems, e.g. the program-synchronization between different systems and the often necessary workshops for workers. These problems can lead to inefficient programming and planning operations, bad worker satisfaction and human errors. In this paper, we present a modular, system agnostic and human centered software framework that unifies the programming of different systems, to enable centralized and intuitive system programming for non-expert operators. Our software framework utilizes visual programming concepts together with an integrated digital twin of the factory and a novel graph-based programming interface. We explain our concept in detail and describe our validation through integration into a realistic industrial setup with three different systems. In addition, we provide an evaluation of our concept's usability with an experimental user study and discuss the results of the study and the software implementation. Our study results show that even non-technical users are able to use our software after a brief introduction to create complex processes that involve multiple machines working in parallel. All users reported high usability and expert users reported that the visual process editor has enough features to create processes for industrial applications. Finally, we conclude this paper by providing an outlook on future work and use-cases of our software."
13,JOUR,Study of the impact of projection-based assistance systems for improving the learning curve in assembly processes,"['Mark, Benedikt G.', 'Rauch, Erwin', 'Matt, Dominik T.']",Procedia CIRP,88,,98,103,2020,2020/01/01/,"13th CIRP Conference on Intelligent Computation in Manufacturing Engineering, 17-19 July 2019, Gulf of Naples, Italy",2212-8271,https://doi.org/10.1016/j.procir.2020.05.018,['https://www.sciencedirect.com/science/article/pii/S2212827120303334'],"['Assistance system', 'Manufacturing system', 'Assembly system', 'Smart manufacturing', 'Industry 4.0', 'SME']","With the introduction of Industry 4.0 the use of worker assistance systems is getting more and more important. Assistance systems should support operators to increase efficiency and to reduce physical and mental stress and thus increase ergonomics of the work. In this paper, we investigate the impact of a projection-based worker assistance system conducting lab experiments simulating a ramp-up situation of a new product in assembly. The specific aim is the investigation of the impact of such systems in assembly for improving the learning curve, when products are changing. The study shows the results of a comparison between the assembly process with traditional worker instructions and the use of cognitive assistance systems to project instructions on the workplace."
14,JOUR,Development and evaluation of design guidelines for cognitive ergonomics in human-robot collaborative assembly systems,"['Gualtieri, Luca', 'Fraboni, Federico', 'De Marchi, Matteo', 'Rauch, Erwin']",Applied Ergonomics,104,,103807,,2022,2022/10/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2022.103807,['https://www.sciencedirect.com/science/article/pii/S0003687022001302'],"['Collaborative robotics', 'Collaborative assembly systems', 'Cognitive ergonomics', 'Human factors', 'Industry 4.0']","Industry 4.0 is the concept used to summarize the ongoing fourth industrial revolution, which is profoundly changing the manufacturing systems and business models all over the world. Collaborative robotics is one of the most promising technologies of Industry 4.0. Human-robot interaction and human-robot collaboration will be crucial for enhancing the operator's work conditions and production performance. In this regard, this enabling technology opens new possibilities but also new challenges. There is no doubt that safety is of primary importance when humans and robots interact in industrial settings. Nevertheless, human factors and cognitive ergonomics (i.e. cognitive workload, usability, trust, acceptance, stress, frustration, perceived enjoyment) are crucial, even if they are often underestimated or ignored. Therefore, this work refers to cognitive ergonomics in the design of human-robot collaborative assembly systems. A set of design guidelines has been developed according to the analysis of the scientific literature. Their effectiveness has been evaluated through multiple experiments based on a laboratory case study where different participants interacted with a low-payload collaborative robotic system for the joint assembly of a manufacturing product. The main assumption to be tested is that it is possible to improve the operator's experience and efficiency by manipulating the system features and interaction patterns according to the proposed design guidelines. Results confirmed that participants improved their cognitive response to human-robot interaction as well as the assembly performance with the enhancement of workstation features and interaction conditions by implementing an increasing number of guidelines."
15,JOUR,Updating design guidelines for cognitive ergonomics in human-centred collaborative robotics applications: An expert survey,"['Gualtieri, Luca', 'Fraboni, Federico', 'Brendel, Hannah', 'Pietrantoni, Luca', 'Vidoni, Renato', 'Dallasega, Patrick']",Applied Ergonomics,117,,104246,,2024,2024/05/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2024.104246,['https://www.sciencedirect.com/science/article/pii/S0003687024000231'],"['Human-robot interaction', 'Collaborative robotics', 'Cognitive ergonomics', 'Industry 5.0', 'Human-centred design']","Within the framework of Industry 5.0, human factors are essential for enhancing the work conditions and well-being of operators interacting with even more advanced and smart manufacturing systems and machines and increasing production performances. Nevertheless, cognitive ergonomics is often underestimated when implementing advanced industrial human-robot interaction. Thus, this work aims to systematically update, develop, and validate guidelines to assist non-experts in the early stages of the design of anthropocentric and collaborative assembly applications by focusing on the main features that have positively influenced workers' cognitive responses. A methodology for structured development has been proposed. The draft guidelines have been created starting from the outcomes of a systematic and extended screening of the scientific literature. Preliminary validation has been carried out with the help of researchers working in the field. Inputs on comprehensibility and relevance have been gathered to enhance the guidelines. Lastly, a survey was used to examine in depth how international experts in different branches can interpret such guidelines. In total, 108 responders were asked to qualitatively and quantitatively evaluate the guideline's comprehensibility and provide general comments or suggestions for each guideline. Based on the survey's results, the guidelines have been validated and some have been reviewed and re-written in their final form. The present work highlights that integrating human factors into the design of collaborative applications can significantly bolster manufacturing operations' resilience through inclusivity and system adaptability by enhancing worker safety, ergonomics, and wellbeing."
16,JOUR,A framework to design a human-centred adaptive manufacturing system for aging workers,"['Peruzzini, Margherita', 'Pellicciari, Marcello']",Advanced Engineering Informatics,33,,330,349,2017,2017/08/01/,,1474-0346,https://doi.org/10.1016/j.aei.2017.02.003,['https://www.sciencedirect.com/science/article/pii/S1474034616301392'],"['Smart manufacturing systems', 'Adaptive manufacturing systems', 'Cyber-physical systems', 'Human factors', 'Aging workers', 'Usability']","The so-called smart manufacturing systems (SMS) combine smart manufacturing technologies, cyber-physical infrastructures, and data control to realize predictive and adaptive behaviours. In this context, industrial research focused mainly on improving the manufacturing system performance, almost neglecting human factors (HF) and their relation to the production systems. However, in order to create an effective smart factory context, human performance should be included to drive smart system adaptation in efficient and effective way, also by exploiting the linkages between tangible and intangible entities offered by Industry 4.0. Furthermore, modern companies are facing another interesting trend: aging workers. The age of workers is generally growing up and, consequently, the percentage of working 45–64years old population with different needs, capabilities, and reactions, is increasing. This research focuses on the design of human-centred adaptive manufacturing systems (AMS) for the modern companies, where aging workers are more and more common. In particular, it defines a methodology to design AMS able to adapt to the aging workers’ needs considering their reduced workability, due to both physical and cognitive functional decrease, with the final aim to improve the human-machine interaction and the workers’ wellbeing. The paper finally presents an industrial case study focusing on the woodworking sector, where an existing machine has been re-designed to define a new human-centred AMS. The new machine has been engineered and prototyped by adopting cyber-physical systems (CPS) and pervasive technologies to smartly adapt the machine behaviour to the working conditions and the specific workers’ skills, tasks, and cognitive-physical abilities, with the final aim to support aging workers. The achieved benefits were expressed in terms of system usability, focusing on human-interaction quality."
17,JOUR,Aging in Industry 5.0: Enhancing Human–Robot Synergy in Manufacturing and Logistics,"['Ranasinghe, Thilini', 'Grosse, Eric H.', 'Lerher, Tone']",IFAC-PapersOnLine,58,19,367,372,2024,2024/01/01/,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.239,['https://www.sciencedirect.com/science/article/pii/S2405896324016689'],"['Aging', 'Human–robot systems', 'Manufacturing', 'Logistics', 'Industry 5.0', 'Human-centricity']","This paper presents a systematic literature review exploring the impact of human–robot (HR) systems on older workers in manufacturing and logistics industries, drawing insights into how these systems can be optimally designed to address human factors in four key areas—perceptual, physical, cognitive, and psychosocial—aligning with the goals of Industry 5.0. By analyzing 19 articles selected from the Scopus and Web of Science databases, we identified both the benefits and challenges that HR systems pose to the aging workforce. We conclude that to achieve Industry 5.0 goals, HR systems must be designed to balance automation with human skills, promoting adaptability and inclusivity tailored to the diverse responses of older workers."
