Title,Abstract,Keywords,Source,Year,Document_Type,Authors,DOI
A vision-enabled fatigue-sensitive human digital twin towards human-centric human-robot collaboration,"Within a Human-centric Human-Robot Collaboration (HHRC) system, monitoring, assessing, and optimizing for an operator's well-being is essential to creating an efficient and comfortable working environment. Currently, monitoring systems are used for independent assessment of human factors. However, the rise of the Human Digital Twin (HDT) has provided the framework for synchronizing multiple operator well-being assessments to create a comprehensive understanding of the operator's performance and health. Within manufacturing, an operator's dynamic well-being can be attributed to their physical and cognitive fatigue across the assembly process. As such, we apply non-invasive video understanding techniques to extract relevant assembly process information for automatic physical fatigue assessment. Our novelty involves a video-based fatigue estimation method, in which the boundary-aware dual-stream MS-TCN combined with an LSTM is proposed to detect the operation type, operation repetitions, and the target arm performing each task in an assembly process video. The detected results are then input into our physical fatigue profile to automatically assess the operator's localized physical fatigue impact. The assembly process of a real-world bookshelf is recorded and tested against, with our algorithm results showing superiority in operation segmentation and target arm detection as opposed to other recent action segmentation models. In addition, we integrate a cognitive fatigue assessment tool that captures operator physiological signals in real-time for body response detection caused by stress. This provides a more robust HDT of the operator for an HHRC system. © 2024 The Authors",Ergonomics; Fatigue assessment; Human digital twin; Human-centric manufacturing; Human-robot collaboration; Vision-based operation segmentation,Journal of Manufacturing Systems,2024,Journal,Chand S.; Zheng H.; Lu Y.,10.1016/j.jmsy.2024.10.002
A Dualistic Perspective of Opportunity and Risk: The Impact of Head-Mounted Augmented Reality on Construction Onsite Hazard Identification of Workers,"Head-mounted augmented reality (HMD AR) technology in construction has shown promise in enhancing operational efficiency. Concurrently, the critical role of hazard identification (HI) in ensuring worker safety is well-documented. Despite this, studies delving into HMD AR's impact on HI, especially across varying task complexities, are limited. This study aims to bridge this gap by examining the influence of HMD AR on construction workers' HI in diverse task environments. The research engaged 48 participants in an experiment to evaluate their hazard situation awareness (HSA), cognitive load (CL), and task performance (TP). These were assessed using the Situation Awareness Global Assessment Technique (SAGAT), the Situation Awareness Rating Technique (SART), the National Aeronautics and Space Administration Task Load Index (NASA-TLX), and measures of task accuracy. Findings indicated that environmental conditions significantly modulate HMD AR's effect on HI. In simple and safe scenes, HMD AR has a negligible impact on HI and might enhance hazard detection capabilities. However, in complex and hazardous situations with intense workloads, HMD AR can impair HI, potentially increasing safety risks. In other words, whether HMD AR brings opportunities or risks for HI depends on the different environmental conditions. This research contributes to the nascent field of cognitive safety in HMD AR, specifically regarding HI in construction, augmenting the current understanding and laying a theoretical groundwork for HMD AR's future safety applications in the architecture, engineering, and construction (AEC) industry. The insights gained inform the prudent implementation, training, and interface design of HMD AR on construction sites. In the context of HMD AR's rapid evolution, this study underscores the importance of critically assessing safety implications to guide the responsible utilization of new technologies. © 2024 American Society of Civil Engineers.",Cognitive behavior and performance; Cognitive load (CL); Construction hazard identification; Head-mounted display augmented reality; Situational awareness,Journal of Construction Engineering and Management,2024,Journal,Liu J.; Yan X.; Gao W.,10.1061/JCEMD4.COENG-14684
Putting workers’ safety front and center: Employee-organization exchange and employee safety performance,"Introduction: The global occupational accident situation remains severe. As enhancing employee safety performance constitutes a crucial part of accident prevention and safety management, the study aims to examine, from an employment relationship perspective, the cognitive, motivational, and behavioral mechanisms through which employee-organization exchange (EOX), as a social exchange type of employment relationship, can affect employee safety performance. Method: Data were collected from 672 subordinates and their immediate 100 supervisors in three large manufacturing firms in Guangdong province, China. Results: The results shows that: (1) EOX has a positive effect on employees’ safety risk perception, psychological ownership of safety promotion, and safety communication; (2) safety risk perception, psychological ownership of safety promotion and safety communication (as cognitive, motivational and behavioral mechanisms) mediate the relationship between EOX and safety performance (both safety compliance and safety participation); and (3) management commitment to safety moderates the direct effect of EOX on safety risk perception, psychological ownership of safety promotion, and safety communication, and its indirect effect on two forms of safety performance via the three mediating mechanisms. The moderating effect and moderated indirect effect are stronger when management commits more to safety. The study contributes to the employee safety literature. Practical Applications: Employers should establish a long-term oriented social exchange relationship with their employees for effective safety management. © 2024 National Safety Council and Elsevier Ltd",Employee-organization exchange; Management commitment to safety; Psychological ownership of safety promotion; Safety communication; Safety performance; Safety risk perception,Journal of Safety Research,2024,Journal,Kuang H.-X.; Pan W.; Sun L.-Y.,10.1016/j.jsr.2024.08.007
Research on the Human–Robot Collaborative Disassembly Line Balancing of Spent Lithium Batteries with a Human Factor Load,"The disassembly of spent lithium batteries is a prerequisite for efficient product recycling, the first link in remanufacturing, and its operational form has gradually changed from traditional manual disassembly to robot-assisted human–robot cooperative disassembly. Robots exhibit robust load-bearing capacity and perform stable repetitive tasks, while humans possess subjective experiences and tacit knowledge. It makes the disassembly activity more adaptable and ergonomic. However, existing human–robot collaborative disassembly studies have neglected to account for time-varying human conditions, such as safety, cognitive behavior, workload, and human pose shifts. Firstly, in order to overcome the limitations of existing research, we propose a model for balancing human–robot collaborative disassembly lines that take into consideration the load factor related to human involvement. This entails the development of a multi-objective mathematical model aimed at minimizing both the cycle time of the disassembly line and its associated costs while also aiming to reduce the integrated smoothing exponent. Secondly, we propose a modified multi-objective fruit fly optimization algorithm. The proposed algorithm combines chaos theory and the global cooperation mechanism to improve the performance of the algorithm. We add Gaussian mutation and crowding distance to efficiently solve the discrete optimization problem. Finally, we demonstrate the effectiveness and sensitivity of the improved multi-objective fruit fly optimization algorithm by solving and analyzing an example of Mercedes battery pack disassembly. © 2024 by the authors.",disassembly; green manufacturing; human-factor load; human–robot collaborative,Batteries,2024,Journal,Jiao J.; Feng G.; Yuan G.,10.3390/batteries10060196
Multilinear principal component analysis-based tensor decomposition for fabric weave pattern recognition from high-dimensional streaming data,"Modern textile industry integrates video sensors with automated fabric reeling systems for real-time fabric weave pattern inspection. This automation system lessens the human-vision-based cognitive load and improves fabric weave pattern inspection work. However, this automation system poses a unique challenge, particularly when dealing with high-dimensional streaming data from highly precision digital microscope cameras. The complexity arises from the continuous acquisition and management of such high-dimensional streaming video data. Considering the challenges posed by dimensionality reduction in high-dimensional data, this study employs multilinear principal component analysis (MPCA)-based tensor decomposition, a statistical technique designed to effectively reduce high-dimensional datasets into low-dimensional features. This paper proposes an innovative method for fabric weave pattern recognition (FWPR) by leveraging MPCA-based tensor decomposition to extract low-dimensional features from the high-dimensional fabric’s surface texture descriptor tensor (STDT). This proposed method replicates fabric pattern monitoring in automated fabric reeling systems by integrating a digital microscope camera to capture high-dimensional streaming video data from fabric surface texture features. Subsequently high-dimensional video data is converted into sequential image frames representing different fabric weave patterns. These image frames are processed with local binary pattern (LBP) and gray-level co-occurrence matrix (GLCM) methods to aggregate fabric’s surface pattern features and construct the high-dimensional STDT. This STDT is subsequently decomposed into low-dimensional features by leveraging MPCA, resulting in an impressive 99.99% reduction in dimension. A supervised machine learning method utilizes the extracted low-dimensional features to enable FWPR, demonstrating superiority of the proposed method over the benchmark methods in evaluation. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.",Computer vision; Fabric pattern recognition; Feature extraction; Industrial automation; Linear binarization pattern; Tensor decomposition,Pattern Analysis and Applications,2024,Journal,Al Mamun A.; Islam M.I.; Shohag M.A.S.; Al-Kouz W.; Noor K.M.A.,10.1007/s10044-024-01318-4
Performance-Aware Trust Modeling within a Human-Multi-Robot Collaboration Setting,"In this study, a novel time-driven mathematical model for trust is developed considering human-multi-robot performance for a Human-Robot Collaboration (HRC) framework. For this purpose, a model is developed to quantify human performance considering the effects of physical and cognitive constraints and factors such as muscle fatigue and recovery, muscle isometric force, human (cognitive and physical) workload, workloads due to the robots' mistakes, and task complexity. The performance of multi-robot in the HRC setting is modeled based upon the rate of task assignment and completion as well as the mistake probabilities of the individual robots. The human trust in HRC setting with single and multiple robots is modeled over different operation regions, namely unpredictable region, predictable region, dependable region, and faithful region. The relative performance difference between the human operator and the robot is used to analyze the effect on the human operator's trust in robots' operation. The developed model is simulated for a manufacturing workspace scenario considering different task complexities and involving multiple robots to complete shared tasks. The simulation results indicate that for a constant multi-robot performance in operation, the human operator's trust in robots' operation improves whenever the comparative performance of the robots improves with respect to the human operator performance. The impact of robot hypothetical learning capabilities on human trust in the same HRC setting is also analyzed. The results confirm that a hypothetical learning capability allows robots to reduce human workloads, which improves human performance. The simulation result analysis confirms that the human operator's trust in the multi-robot operation increases faster with the improvement of the multi-robot performance when the robots have a hypothetical learning capability. An empirical study was conducted involving a human operator and two collaborator robots with two different performance levels in a software-based HRC setting. The experimental results closely followed the pattern of the developed mathematical models when capturing human trust and performance in terms of human-multi-robot collaboration. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.",human performance; Human-Robot Collaboration (HRC); multi-robot performance; trust,ACM Transactions on Human-Robot Interaction,2024,Journal,Rabby M.K.M.; Khan M.A.; Jiang S.X.; Karimoddini A.,10.1145/3660648
Decoding the silent language: A framework for advanced visual emotion recognition to enhance worker well-being on IIoT-enabled manufacturing,"The Industrial Internet of Things (IIoT), pivotal in the Industry 4.0 revolution, has transformed manufacturing, particularly assembly lines, by enabling real-time process monitoring and data analysis to enhance productivity. Yet, its potential impact on worker well-being has been less explored. As the National Association of Manufacturers anticipates an opening of 2.1 million unfilled jobs by 2030, the necessity for frameworks that not only understand but also improve employee well-being becomes apparent. We introduce a novel, non-intrusive visual emotion recognition framework that incorporates facial emotion recognition (FER) and emotional body posture recognition (EBPR) to assess workers’ psychological states. This initiative aims to mitigate human errors and accidents linked to stress or high cognitive load, thereby enhancing the manufacturing environment. Strategies such as optimized break time planning, line balancing, procedure modifications, and improved training are proposed to ensure both employee well-being and stakeholder benefits. This framework indirectly supports the industry's efforts to address the looming challenge of unfilled jobs by fostering a supportive work environment that enhances job satisfaction, potentially making positions more appealing and retaining valuable talent. By bridging the gap between technological advancements and human-centric considerations, our approach underscores the significance of integrating IIoT solutions with employee welfare initiatives to address both productivity and workforce sustainability challenges. © 2024 The Author(s)",Assembly line; Emotion recognition; Employee well-being; Facial expression; IIoT; Posture,Manufacturing Letters,2024,Journal,Rezaei N.; Vaezi S.A.; Camelio J.A.,10.1016/j.mfglet.2024.09.162
Aging in Industry 5.0: Enhancing Human-Robot Synergy in Manufacturing and Logistics,"This paper presents a systematic literature review exploring the impact of human-robot (HR) systems on older workers in manufacturing and logistics industries, drawing insights into how these systems can be optimally designed to address human factors in four key areas-perceptual, physical, cognitive, and psychosocial-aligning with the goals of Industry 5.0. By analyzing 19 articles selected from the Scopus and Web of Science databases, we identified both the benefits and challenges that HR systems pose to the aging workforce. We conclude that to achieve Industry 5.0 goals, HR systems must be designed to balance automation with human skills, promoting adaptability and inclusivity tailored to the diverse responses of older workers.  Copyright © 2024 The Authors.",Aging; Human-centricity; Human-robot systems; Industry 5.0; Logistics; Manufacturing,IFAC-PapersOnLine,2024,Conference,Ranasinghe T.; Grosse E.H.; Lerher T.,10.1016/j.ifacol.2024.09.239
The relation between cognitive and organizational factors in the production environment,"The adoption of I4.0's technologies in the work cells accompanied by societal changes calls for new approaches to manage the current production systems. Nevertheless, the current models simulating the behavior of the work cells limit the representation of the operators to the average human, without regard for their individual characteristics, cognitive abilities or psychosocial state. The aim of this paper is to achieve two objectives: firstly, the authors propose a conceptual model for enhancing a human-centered production environment. Secondly, the paper summarizes how the literature characterizes the different dimensions of relations between cognitive and organizational factors. By integrating the collaborative, psychological, social, cognitive, organizational and system performance dimensions, the proposed model focuses on the relationships between these dimensions. Thus, operational models should be closer to the real production environment to improve the design choices of the manufacturing systems.  Copyright © 2024 The Authors.",cognitive; human-centered approach; Human-machine interaction; modeling; organizational factors; psychosocial work environment,IFAC-PapersOnLine,2024,Conference,Sahyoun V.; Petronijevic J.; Etienne A.; Krings B.-J.; Moniz A.; Siadat A.,10.1016/j.ifacol.2024.09.140
A natural bare-hand interface-enabled interactive AR assembly guidance,"Augmented reality (AR) can benefit manual assembly operations by superimposing intuitive visual guidance on the workbench directly, alleviating the mental load to determine the next operation while improving assembly performance. Where the bare-hand gesture interface is considered a promising manner to manipulate the virtual assembly model, nevertheless, it usually suffers from unreliable recognition results and poor adaptability due to the unfamiliarity with gesture libraries in actual AR assembly tasks. In this paper, we try to establish a robust and easy-to-use natural bare-hand interactive AR assembly system, enabling the operator to interact against the ongoing virtual assembly models intuitively and resulting in a human-centric AR assembly performance. Firstly, a normalized feature information extraction for real-time bare-hand gestures is presented, which can establish a robust gesture model expression when encountering different sensing distances and varying operators. Followed by the definition of some typical bare-hand interaction functions related to manual assembly operations, and thus reliable interactions between hand gestures and virtual components are available. Then, a bare-hand-enabled interactive AR assembly system is established, where operators can explore and manipulate a large amount of assembly-related information with the help of real-time bare-hand interaction. Finally, extensive experiments are carried out to evaluate the proposed bare-hand interactive AR assembly system, and results demonstrate that it can alleviate the cognitive load for the operators while providing a human-centric assembly performance. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.",Augmented reality; Bare-hand interaction; Human-centric manufacturing; Smart assembly,International Journal of Advanced Manufacturing Technology,2024,Journal,Fang W.; Teng Z.; Zhang Q.; Wu Z.,10.1007/s00170-024-13922-z
