type_of_reference,primary_title,authors,journal_name,volume,start_page,end_page,year,date,secondary_title,issn,doi,urls,keywords,abstract,number
JOUR,Tool for Improving Operating Points in Multi Model Assembly Lines,"['Dombrowski, Uwe', 'Döring, Hannes', 'Ernst, Stefan']",Procedia CIRP,33,351,356,2015,2015/01/01/,9th CIRP Conference on Intelligent Computation in Manufacturing Engineering - CIRP ICME '14,2212-8271,https://doi.org/10.1016/j.procir.2015.06.081,['https://www.sciencedirect.com/science/article/pii/S2212827115007246'],"['Production', 'Decision Making', 'Simulation']","Manufacturing companies are facing highvariant diversities of their products. The degree of variant diversity increasesalongthe value chain. Hence, assembly is forced to deal with the highest diversity. These fluctuating workloads affect the utilization rate in multi model assembly lines. Thereby, constant cycle times lead to losses in time due to the model mix. Furthermore, losses can result from gaps between exact workloads and human capacities in the workstations.Optimal operating points are defined as the ideal combination of concurrent sub goals like utilization rate and throughput rate. The identification of such operating points for assembly lines with planned product sequences shows up as a task for capacity planning and line balancing. Several analytic line balancing methods were developed in the past aiming for instance at minimal cycle times. However, methods for operational decisions on cycle time and overall production capacity are still rare. Simulation methods show potential to fill this gap. They allow the modeling and simulation of specific and complex production systems. This paper describes a planning method and a simulative tool for the identification of optimal operation points. The aim of optimal operating points is a reduction of time losses due to the model mix.Based oncurrent approaches for simulative line balancing, a planning tool has been developed. Working with defined product sequences, thistool supports the variation of parameters like the cycle time. Effects on productivity and time losses can be analyzed. Optimal operating points can be identified. Furthermore, the tool can visualize specific product sequences with corresponding workloads during the shift. It supports staff decisions on improvements in production. Moreover, results can be used for decisions on staff planning and staff development. The tool has been validated by a case study in a truck assembly line.",
JOUR,How does the application of augmented reality affect the mental workload of human workers? A collection of preliminary results,"['Maretto, Leonardo', 'Battini, Daria', 'Faccio, Maurizio', 'Granata, Irene', 'Jaber, Mohamad Y.']",IFAC-PapersOnLine,58,760,765,2024,2024/01/01/,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.210,['https://www.sciencedirect.com/science/article/pii/S2405896324016331'],"['augmented reality', 'Industry 5.0', 'mental workload', 'digitalisation', 'eye tracking']","Digitalisation and the introduction of smart manufacturing technologies are changing the shape of industrial shop floors. For manufacturing companies, it becomes imperative to assess the operational and economic advantages derived from these technologies. Simultaneously, in alignment with the Industry 5.0 paradigm, understanding the influence of digital technologies on human workers, especially those directly interacting with these technologies, is equally critical. This study focuses on augmented reality (AR) as a specific technology, conducting an experimental campaign to explore its effects on learning curves and cognitive workload. Voluntary participants engaged in learning manual tasks of varying durations and required dexterity. This study evaluates the impact of AR on the mental workload of operators, utilising two main eye-related measures: fixation duration and pupil diameter. Preliminary results indicate that augmented reality increases the cognitive workload of workers undergoing training.",19
JOUR,"Danger, high voltage! Using EEG and EOG measurements for cognitive overload detection in a simulated industrial context","['Morton, Jessica', 'Zheleva, Aleksandra', 'Van Acker, Bram B.', 'Durnez, Wouter', 'Vanneste, Pieter', 'Larmuseau, Charlotte', 'De Bruyne, Jonas', 'Raes, Annelies', 'Cornillie, Frederik', 'Saldien, Jelle', 'De Marez, Lieven', 'Bombeke, Klaas']",Applied Ergonomics,102,103763,,2022,2022/07/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2022.103763,['https://www.sciencedirect.com/science/article/pii/S0003687022000862'],"['Industrial setting', 'Assembly task', 'Cognitive workload', 'Cognitive ergonomics', 'Overload', 'EEG', 'EOG']","Industrial settings will be characterized by far-reaching production automation brought about by advancements in robotics and artificial intelligence. As a consequence, human assembly workers will need to adapt quickly to new and more complex assembly procedures, which are most likely to increase cognitive workload, or potentially induce overload. Measurement and optimization protocols need to be developed in order to be able to monitor workers’ cognitive load. Previous studies have used electroencephalographic (EEG, measuring brain activity) and electrooculographic (EOG, measuring eye movements) signals, using basic computer-based static tasks and without creating an experience of overload. In this study, EEG and EOG data was collected of 46 participants performing an ecologically valid assembly task while inducing three levels of cognitive load (low, high and overload). The lower individual alpha frequency (IAF) was identified as a promising marker for discriminating between different levels of cognitive load and overload.",
JOUR,Safety evaluation and prediction of takeover performance in automated driving considering drivers’ cognitive load: A driving simulator study,"['Liu, Yongjie', 'Wu, Chaozhong', 'Zhang, Hui', 'Ding, Naikan', 'Xiao, Yiying', 'Zhang, Qi', 'Tian, Kai']",Transportation Research Part F: Traffic Psychology and Behaviour,103,35,52,2024,2024/05/01/,,1369-8478,https://doi.org/10.1016/j.trf.2024.03.021,['https://www.sciencedirect.com/science/article/pii/S1369847824000664'],"['Conditionally automated driving', 'Takeover request (TOR)', 'Safety performance', 'Cognitive load', 'Eye movement', 'Driving simulation']","Automated vehicles alleviate the need for driver attention and control. However, a takeover request (TOR) to the driver remains essential for emergencies and safety–critical scenarios beyond automation's capability. Thus, accessing drivers’ safety performance in various TOR scenarios is crucial for conditionally automated driving (SAE L3). However, TOR safety performance is seldom examined concerning drivers' cognitive load, despite its presumed relevance to TOR scenarios and human–machine interaction. Moreover, the adequacy of the time window preceding a TOR, critical for TOR safety prediction, remains inadequately explored. This study aims to assess safety performance across diverse TOR scenarios in Level 3 conditional automation, incorporating drivers’ cognitive load, and predict TOR safety by considering the time window's impact. A driving simulator experiment gathered eye movement and driving behavior data from 37 recruited participants. Participants were instructed to take control of the vehicle from automated driving within a time budget (TB) of 3 s or 7 s in obstacle avoidance (OA) or lane keeping (LK) scenarios while engaging in non-driving-related tasks (NDRTs). Participants’ subjective cognitive load in the different TOR scenarios was scaled using NASA-TLX. Furthermore, safe TOR performance was predicted utilizing Convolutional Neural Networks (CNNs) across different time window sizes preceding a TOR. The results indicate that: 1) cognitive loads in takeover scenarios ranked from highest to lowest as TB = 3s_OA, TB = 3s_LK, TB = 7s_OA, TB = 7s_LK; and the cognitive loads of the NDRTs ranked from highest to lowest as mistake finding, texting, chatting, monitoring; 2) the takeover safety performance in the four scenarios from lowest to highest was TB = 3s_OA, TB = 3s_LK, TB = 7s_OA, TB = 7s_LK; likewise, the takeover safety performance during the four NDRTs ranked from lowest to highest as mistake finding, monitoring, texting, chatting; 3) the time window size before the TORs significantly affected the prediction performance of the model. A 30-second window was recommended as optimal for predicting takeover safety using the CNN model, achieving an average F1 score of 0.8120 and 81.98 % accuracy. This study's findings enhance our comprehension of driving behavior characteristics during TOR and offer valuable insights for detecting driver states in conditionally automated driving contexts.",
JOUR,Machines group and load balancing: an industrial case,"['Berthier, A.', 'Yalaoui, A.', 'Chehade, H.', 'Yalaoui, F.', 'Amodeo, L.', 'Coquelet, G.']",IFAC-PapersOnLine,52,415,420,2019,2019/01/01/,"9th IFAC Conference on Manufacturing Modelling, Management and Control MIM 2019",2405-8963,https://doi.org/10.1016/j.ifacol.2019.11.090,['https://www.sciencedirect.com/science/article/pii/S2405896319310304'],"['Facility layout', 'cellular manufacturing', 'group technology', 'assembly line balancing', 'mathematical models', 'optimization']",This paper presents a problem from the textile industry wich consists of designing the layout of a knitting workshop. Machine groups are created to balance the operators’ workload and the layout is designed to create group cells. New models are proposed in this paper with two approaches. The first is an aggregated model and the second one proposes a two-step sequential method. The two models were implemented using CPLEX-ILOG software and compared to provide preliminary results. Future directions for research are outlined to further address this issue.,13
JOUR,Balancing non-bottleneck stations using simple assembly line balancing models ⁎⁎The authors would like to acknowledge the financial support of the Austria Research Promotion Agency (FFG) and of European Commission for funding the StaProZell (pr. No. 864870) and H2020 EPIC (grant no. 739592) projects respectively.,"['Lingitz, Lukas', 'Gallina, Viola', 'Kardos, Csaba', 'Koltai, Tamás', 'Sihn, Wilfried']",IFAC-PapersOnLine,52,1432,1437,2019,2019/01/01/,"9th IFAC Conference on Manufacturing Modelling, Management and Control MIM 2019",2405-8963,https://doi.org/10.1016/j.ifacol.2019.11.400,['https://www.sciencedirect.com/science/article/pii/S2405896319313813'],"['Simple assembly line balancing problem (SALBP)', 'MILP', 'CP', 'workload balancing']","One of the most important objectives in assembly line balancing is to evenly distribute the workload of the stations. In the literature different measures were developed for evaluating the balance quality of an assignment. However, because of the complexity of the defined indices they are rarely studied with exact methods of assembly line balancing. In this paper a new balancing index is proposed by the authors and a new balancing algorithm with exact methods is introduced and illustrated by means of a case study.",13
JOUR,The influence of augmented reality interaction design on Pilot's perceived workload and situation awareness,"['Li, Wen-Chin', 'Zhang, Jingyi', 'Court, Samuel', 'Kearney, Peter', 'Braithwaite, Graham']",International Journal of Industrial Ergonomics,92,103382,,2022,2022/11/01/,,0169-8141,https://doi.org/10.1016/j.ergon.2022.103382,['https://www.sciencedirect.com/science/article/pii/S0169814122001238'],"['Augmented reality', 'Cognitive demands', 'Flight deck design', 'Human-computer interaction', 'Perceived workload']","This work explored the potential for Augmented Reality (AR) rendering information superimposed over the flight deck to increase a pilot's situation awareness (SA). This emerging technology introduced novel human-computer interaction paradigms that would have impact on pilot's cognitive demands. The objective of this research was to evaluate both the pilot's perceived workload and SA while interacting with an AR device using different interactive modes. Participants performed traditional landing checklists as a baseline to compare with the AR gesture-command and voice-command checklists. The research results showed that gesture-commands created additional cognitive and physical demands. Conversely, voice-command checklists could constitute a significant improvement in terms of reducing participants' perceived workload and maximising SA performance. The findings provided evidence that the interactive modes of AR user interface design could influence participant's cognitive information processing and perceived workload in flight operations. However, there were some limitations with AR applications that included latency on response time, narrow field of view, accuracy of voice recognition, calibration within dynamic environment and inexplicable movements of the head position that required further investigation. An AR device can be a great tool for training at the initial stage to increase cost-efficiency in flight operations. Furthermore, the implementation of an AR design may provide part of the potential solution for single pilot operations in the future.",
JOUR,"Models for assembly line balancing by temporal, spatial and ergonomic risk attributes","['Bautista, Joaquín', 'Batalla-García, Cristina', 'Alfaro-Pozo, Rocío']",European Journal of Operational Research,251,814,829,2016,2016/06/16/,,0377-2217,https://doi.org/10.1016/j.ejor.2015.12.042,['https://www.sciencedirect.com/science/article/pii/S0377221715011819'],"['Manufacturing', 'Ergonomic risks', 'Flexible manufacturing systems', 'Assembly line balancing', 'Linear programming']","Assembly lines with mixed products present ergonomic risks that can affect productivity of workers and lines. Because of that, the line balancing must consider the risk of injury in regard with the set of tasks necessary to process a product unit, in addition to other managerial and technological attributes such as the workload or the space. Therefore, in this paper we propose a new approach to solve the assembly line balancing problem considering temporal, spatial and ergonomic attributes at once. We formulate several mathematical models and we analyze the behavior of one of these models through case study linked to Nissan. Furthermore, we study the effect of the demand plan variations and ergonomic risk on the line balancing result.",3
JOUR,Assessing user performance in augmented reality assembly guidance for industry 4.0 operators,"['Marino, Emanuele', 'Barbieri, Loris', 'Bruno, Fabio', 'Muzzupappa, Maurizio']",Computers in Industry,157-158,104085,,2024,2024/05/01/,,0166-3615,https://doi.org/10.1016/j.compind.2024.104085,['https://www.sciencedirect.com/science/article/pii/S0166361524000137'],"['Augmented Reality', 'Industry 4.0', 'Assembly guidance', 'Hand-held devices', 'User performance', 'AR Foundation']","In the realm of smart manufacturing, Augmented Reality (AR) technology has gained increasing attention among researchers and manufacturers due to its practicality and adaptability. For this reason, it has been widely embraced in various industrial fields, especially for helping operators assemble products. Despite its widespread adoption, there is a debate in the research community about how effective AR is for improving user performance in assembly tasks, particularly when using handheld devices. These disparities can be attributed to differences in experimental approaches, such as the frequent use of qualitative methods, the inclusion of non-representative users, and the limited number of comprehensive case studies. In response to this, the paper delved into the benefits of AR applications, with a specific focus on measuring user performance and the cognitive workload perceived by users during assembly activities. To this end, an AR assembly guidance tool has been developed to assist users during assembly tasks, running on a mobile device, specifically a tablet, for freedom of movement and high portability. Experimentation involved the assembly of a comprehensive case study and a diverse user group, allowing the comparison representative users and experienced industrial operators. The results were promising, indicating that AR technology effectively enhances user performance during assembly-guided activities compared to conventional methods, particularly when users are unfamiliar with the task at hand. This study brings valuable insights by addressing previous research limitations and providing strong evidence of AR's positive impact on user performance in real-world assembly scenarios.",
JOUR,An exact method to incorporate ergonomic risks in Assembly Line Balancing Problems,"['Possan Junior, Moacyr Carlos', 'Michels, Adalberto Sato', 'Magatão, Leandro']",Computers & Industrial Engineering,183,109414,,2023,2023/09/01/,,0360-8352,https://doi.org/10.1016/j.cie.2023.109414,['https://www.sciencedirect.com/science/article/pii/S0360835223004382'],"['Assembly line balancing', 'Mixed-integer linear programming', 'Ergonomic risks', 'OCRA']","Since ergonomic risks related to the tasks performed by each worker are generally neglected when solving the Simple Assembly Line Balancing Problem (SALBP) or partially treated in post-processing, this paper aims to incorporate ergonomic issues natively in the decision process (ErgoSALBP). For such a problem, we present a novel Mixed-Integer Linear Programming (MILP) model that linearizes and incorporates into the SALBP the Occupational Repetitive Action (OCRA). This well-known method gives ergonomic risk indicators for musculoskeletal disorders. A lexicographical approach to address the problem is proposed, where the minimum number of stations is obtained for SALBP and used as a starting point to solve a type-F ErgoSALBP (feasibility problem) focused on satisfying the maximum ergonomic risk workload. Once the exact solution is found, we establish an objective function to smooth the ergonomic risk distribution among stations. We tested a total of 2160 instances with up to 297 tasks. Our method was able to solve 94% of all instances optimally. The share of solutions found with only green stations (the ideal ergonomic condition) was 87%, surpassing the state of the art. For the instances where the model did not converge to a solution within the time limit, we present a procedure to assess the optimality gap. Furthermore, the model can be embedded as a building block for other assembly line configurations. Finally, the results provide trade-off insights for managers: the average OCRA for the line improves as the cycle time increases, which may positively impact workers’ satisfaction and product quality in the long run.",
JOUR,Modified Pluralistic Walkthrough for Method Evaluation in Manufacturing,"['Thorvald, Peter', 'Lindblom, Jessica', 'Schmitz, Sebastian']",Procedia Manufacturing,3,5139,5146,2015,2015/01/01/,"6th International Conference on Applied Human Factors and Ergonomics (AHFE 2015) and the Affiliated Conferences, AHFE 2015",2351-9789,https://doi.org/10.1016/j.promfg.2015.07.544,['https://www.sciencedirect.com/science/article/pii/S2351978915005454'],"['CLAM', 'modified pluralistic method', 'cognitive workload', 'cognitive load method evaluation', 'manufacturing', 'assembly.']","This paper presents a mixed evaluation design including quantitative and qualitative data in order to validate the scope, validity, and reliability of a recently developed CLAM method and tool. A central part of the evaluation was the use of a modified pluralistic walkthrough that was created to better suit the industrial domain. The evaluation of CLAM was performed in a demonstration factory focusing on manufacturing of street scooters and electric pedal cars. The modified walkthrough was conducted on the shop floor, during on-going assembly, which stresses the representativeness of a real-world setting of manufacturing. The modified pluralistic walkthrough functioned accurately as an evaluation method of CLAM and the exhaustive comments and data from the user representatives were very beneficial. The quantitative results show convicting evidence of CLAM's utility for assessing cognitive load while the qualitative results indicate that some modifications have to be made in order to enhance the actual tool in order to avoid misinterpretations resulting in misleading outcomes.",
JOUR,Parameters of effects in decision making of automotive assembly line using the Analytical Hierarchy Process method,"['Nelfiyanti,', 'Mohamed, Nik', 'Rashid, MFFA', 'Ramadhan, Anwar Ilmar']",CIRP Journal of Manufacturing Science and Technology,37,370,377,2022,2022/05/01/,,1755-5817,https://doi.org/10.1016/j.cirpj.2022.02.018,['https://www.sciencedirect.com/science/article/pii/S1755581722000438'],"['Analytical Hierarchical Process (AHP)', 'Automotive', 'Decision Making', 'Musculoskeletal Disorder (MSD)']","The automotive industry contributes high income to most of the countries. The assembly line is an essential part of the automotive industry because it combines all the components into a complete body unit. Assembly lines often experience delays in meeting production targets, requiring overtime to complete. Musculoskeletal Disorder (MSD) complaints among assembly workers predominantly lie in trimming, chassis, and finishing processes. Improvements are needed to reduce complaints according to the priority process. This study aims to prioritize the process on the assembly line with the parameters of work position, workload, work layout and equipment. This study implements the Analytical Hierarchy Process (AHP) method to achieve the objectives of the decision-making process. Preliminary weighting priorities for chassis, finishing and trimming are 0.6153, 0.2313 and 0.1533; respectively highest weight is in the chassis process and will be a priority for this study in optimizing solutions.",
JOUR,Development and evaluation of design guidelines for cognitive ergonomics in human-robot collaborative assembly systems,"['Gualtieri, Luca', 'Fraboni, Federico', 'De Marchi, Matteo', 'Rauch, Erwin']",Applied Ergonomics,104,103807,,2022,2022/10/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2022.103807,['https://www.sciencedirect.com/science/article/pii/S0003687022001302'],"['Collaborative robotics', 'Collaborative assembly systems', 'Cognitive ergonomics', 'Human factors', 'Industry 4.0']","Industry 4.0 is the concept used to summarize the ongoing fourth industrial revolution, which is profoundly changing the manufacturing systems and business models all over the world. Collaborative robotics is one of the most promising technologies of Industry 4.0. Human-robot interaction and human-robot collaboration will be crucial for enhancing the operator's work conditions and production performance. In this regard, this enabling technology opens new possibilities but also new challenges. There is no doubt that safety is of primary importance when humans and robots interact in industrial settings. Nevertheless, human factors and cognitive ergonomics (i.e. cognitive workload, usability, trust, acceptance, stress, frustration, perceived enjoyment) are crucial, even if they are often underestimated or ignored. Therefore, this work refers to cognitive ergonomics in the design of human-robot collaborative assembly systems. A set of design guidelines has been developed according to the analysis of the scientific literature. Their effectiveness has been evaluated through multiple experiments based on a laboratory case study where different participants interacted with a low-payload collaborative robotic system for the joint assembly of a manufacturing product. The main assumption to be tested is that it is possible to improve the operator's experience and efficiency by manipulating the system features and interaction patterns according to the proposed design guidelines. Results confirmed that participants improved their cognitive response to human-robot interaction as well as the assembly performance with the enhancement of workstation features and interaction conditions by implementing an increasing number of guidelines.",
JOUR,Human-Centered Task Allocation: A Simulation-Based Case Study,"['Dehnavi, Zahra Safari', 'Schlund, Sebastian', 'Abonyi, János', 'Ruppert, Tamás']",IFAC-PapersOnLine,58,67,72,2024,2024/01/01/,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.093,['https://www.sciencedirect.com/science/article/pii/S2405896324014940'],"['Task allocation', 'human-centered', 'cognitive load', 'physical demand', 'ergonomics', 'DES', 'simulation', 'optimisation']","This study investigates human-centered task allocation, focusing on factors such as cognitive load, physical demand, and ergonomics. A discrete event simulator was developed to validate the task allocation results of the Q-learning optimization. The simulation evaluates the process and resulting task allocation plan based on predefined human-centered objectives. Through a case study on remanufacturing, we demonstrate how to optimize the coordination of a robotic arm and two human operators to reduce overall workforce requirements. The simulation allows for the analysis of operators’ cognitive and physical workloads over time, enabling exploration of not only typical time balances but also cognitive and physical burdens.",19
